Name,Sponsor,ModelAircraftName,ModelVariantName,DateSet,Speed_kph,Description
SR-0152-4357,DLR,Radiant Rocket,Max-6,1928-07-05,2613.19,Official speed record attempt
SR-0153-8955,USAF,Lycanthrope,Mk.I-60,1930-01-10,300.95,Official speed record attempt
SR-0154-5982,JAXA,F-84 Nebula III,Max-21,1948-05-27,1884.99,Official speed record attempt
SR-0155-1727,FAI,Astra Flare,Neo-83,1964-05-28,2313.53,Official speed record attempt
SR-0156-9812,USAF,Boeing 737 MAX,Neo-96,1922-11-13,855.8,Official speed record attempt
SR-0157-8290,JAXA,Crimson Valkyrie,200-32,1922-03-01,710.1,Official speed record attempt
SR-0158-4023,NASA,Avro Shackleton,LR-17,1960-04-28,2323.84,Official speed record attempt
SR-0159-5898,USAF,De Havilland Vampire,B-80,2016-04-28,3136.35,Official speed record attempt
SR-0160-8787,NASA,Mitsubishi A6M Zero,ER-1,1933-07-26,970.57,Official speed record attempt
SR-0161-8037,RAF,AeroVista 2023,ER-62,1956-09-10,1015.21,Official speed record attempt
SR-0162-2989,JAXA,EclipseNova 6,ER-95,1970-03-10,1570.91,Official speed record attempt
SR-0163-2833,FAI,de Havilland DH.60 Moth,Mk.I-4,1926-08-27,2725.04,Official speed record attempt
SR-0164-4253,Boeing,Everstorm 57,A-52,1986-08-23,497.19,Official speed record attempt
SR-0165-1984,JAXA,ThunderWave 6,100-95,1949-11-13,2095.52,Official speed record attempt
SR-0166-9271,FAI,Phoenix Apex,Neo-47,1951-10-01,601.65,Official speed record attempt
SR-0167-6394,DLR,Celestial Atlas,A-11,1922-07-16,544.69,Official speed record attempt
SR-0168-7456,RAF,Stellar Comet,ER-67,1934-04-26,630.32,Official speed record attempt
SR-0169-6178,USAF,Sukhoi Su-27 Flanker,Neo-29,2010-04-19,211.04,Official speed record attempt
SR-0170-1568,USAF,Rogue Mantis,A-25,1953-09-18,1055.66,Official speed record attempt
SR-0171-4779,USAF,Celestial Hawk,Mk.I-68,1974-08-03,753.28,Official speed record attempt
SR-0172-3666,USAF,Lumen Arc,Mk.I-67,2005-10-27,538.26,Official speed record attempt
SR-0173-1011,DLR,Chronos Century,100-21,1968-07-17,870.27,Official speed record attempt
SR-0174-8697,Rolls-Royce,Cessna 208 Grand Caravan,B-21,1929-08-10,3006.1,Official speed record attempt
SR-0175-3057,NASA,Nimbus Prime,200-39,1973-12-02,1101.25,Official speed record attempt
SR-0176-4859,DLR,Polikarpov I-16,B-31,1994-01-09,3333.42,Official speed record attempt
SR-0177-3676,NASA,ATR 72,B-27,1955-12-12,1685.51,Official speed record attempt
SR-0178-2664,Rolls-Royce,AeroMaster AM-9,ER-52,1964-03-04,2473.54,Official speed record attempt
SR-0179-2574,RAF,Bensen B-6,Mk.I-24,1946-07-10,483.92,Official speed record attempt
SR-0180-5419,RAF,Eclipse Aero 270,Max-59,1974-07-18,1394.34,Official speed record attempt
SR-0181-1353,RAF,Tupolev Tu-154,LR-28,1980-09-06,2360.34,Official speed record attempt
SR-0182-4594,RAF,AeroAurora 12,100-42,1942-03-08,1814.12,Official speed record attempt
SR-0183-2082,FAI,AugustaWestland AW139,B-56,2006-10-29,1213.6,Official speed record attempt
SR-0184-5042,FAI,Consolidated PBY-5 Cataline,ER-74,1932-10-29,3003.32,Official speed record attempt
SR-0185-7277,FAI,Quasar Jet,ER-62,1955-10-23,1851.64,Official speed record attempt
SR-0186-8905,JAXA,Il-86 Candidate,Neo-1,1965-03-28,1911.03,Official speed record attempt
SR-0187-9697,Rolls-Royce,Saab J 29 Tunnan,100-87,1923-08-02,3128.82,Official speed record attempt
SR-0188-5022,DLR,Nova Aero 770,Max-21,1932-05-22,1097.68,Official speed record attempt
SR-0189-8440,FAI,Falcon V,B-34,2003-11-24,2375.67,Official speed record attempt
SR-0190-1656,NASA,Mirage Aero 320,LR-10,2003-07-29,2575.82,Official speed record attempt
SR-0191-9958,Boeing,Cessna 208 Grand Caravan,Max-39,1982-07-19,1747.28,Official speed record attempt
SR-0192-6674,NASA,F-35 Lightning II,200-38,1954-01-25,1399.9,Official speed record attempt
SR-0193-6016,Rolls-Royce,Thalassa Aero 610,LR-95,1996-07-16,3375.11,Official speed record attempt
SR-0194-4212,FAI,Apex Arrow,100-96,1987-12-12,2564.79,Official speed record attempt
SR-0195-3860,JAXA,Piaggio P.180 Avanti,200-77,1920-02-04,1575.94,Official speed record attempt
SR-0196-8000,JAXA,Hawker 800XP,100-30,1933-02-04,2314.53,Official speed record attempt
SR-0197-9580,Boeing,Eclipse Phoenix,Neo-95,2000-07-26,2291.05,Official speed record attempt
SR-0198-2078,RAF,Eclipse 300,Max-88,1948-06-07,2420.53,Official speed record attempt
SR-0199-8818,RAF,Mikoyan-Gurevich MiG-29K,200-22,1936-08-19,3323.51,Official speed record attempt
