EngineModelName,ManufacturerName,Country,YearEnd
Aegean AE-210,Junkers,USA,2024
SkyPower SP-3000,PZL,USA,2024
Nimbus NX-150,Cessna,USA,2024
Helios HX-400,Eve,USA,2024
Vortex V-1200,Morane-Saulnier,USA,2024
Falcon FT-850,Aermacchi,USA,2024
Zephyr ZP-250,Fairchild Industries,USA,2024
Orion OX-700,Short Brothers,USA,2024
Mirage MX-180,Focke-Wulf,USA,2024
Thunderbolt TB-500,Britten-Norman Islander,USA,2024
Astra AS-330,Rolls-Royce,USA,2024
Pulsar PP-900,Sikorsky,USA,2024
Cobalt CB-650,Northrop,USA,2024
Lumen LS-210,Heinkel,USA,2024
Eclipse EP-400,Piaggio,USA,2024
Nimble NF-120,CFM International,USA,2024
Quantum Q-1500,Morane-Saulnier,USA,2024
Zenith ZN-200,Stiner Aircraft,USA,2024
Strato ST-750,Northrop,USA,2024
Delta DX-340,Lockheed,USA,2024
Falcon FX-190,Fairchild,USA,2024
Glide GM-560,Kalinin,USA,2024
Pioneer PR-880,Mikoyan,USA,2024
Aurora AR-320,Zodiac Aerospace,USA,2024
Helix HX-110,Short Brothers,USA,2024
Nebula NB-620,Morane-Saulnier,USA,2024
Titanium Ti-950,Yakovlev,USA,2024
Vortex VX-270,Dornier,USA,2024
Solaris SX-480,Moyes Aeronautics,USA,2024
Zenith ZT-140,Moyes Aeronautics,USA,2024
Apex AP-350,Safran,USA,2024
Boreal B-210,Westland Aircraft,USA,2024
Celestial C-730,Learjet,USA,2024
Dynamo DM-590,Astraeus Aerospace,USA,2024
Eon EH-160,Heinkel,USA,2024
Falcon F-910,Temco Aeronautics,USA,2024
Gale G-330,Beechcraft,USA,2024
Helicifer H-440,Gulfstream,USA,2024
Icarus IC-220,Stiner Aircraft,USA,2024
Jupiter JX-580,Morane-Saulnier,USA,2024
Kestrel KS-190,Temco Aeronautics,USA,2024
Lynx LX-660,Safran,USA,2024
Maverick MV-310,Focke-Wulf,USA,2024
Nimbus N-100,EADS,USA,2024
Orbit O-420,Avro,USA,2024
Phoenix Ph-770,Aermacchi,USA,2024
Quartz Q-250,Saunders-Roe,USA,2024
Raptor RT-880,Eve,USA,2024
Stratus ST-130,Avro,USA,2024
Tempest TM-540,Fokker,USA,2024
Upsilon UV-990,Saunders-Roe,USA,2024
Vivid V-380,Rolls-Royce,USA,2024
Warden W-210,Eriksen Aircraft,USA,2024
Xenon X-620,Zircon Aerospace,USA,2024
Yield Y-150,Hawker Beechcraft,USA,2024
Zenith ZN-330,Sabau Aerospace,USA,2024
Aether AE-470,Borel,USA,2024
Breeze BR-880,Kalinin,USA,2024
Crest CB-340,Evektor,USA,2024
Dart DS-200,Piaggio,USA,2024
Eclipse EX-620,PZL,USA,2024
Falcon FX-240,Continental Motors,USA,2024
Glide GM-510,Gurevich,USA,2024
Helix HX-390,Gurevich,USA,2024
Iris IR-720,Alenia,USA,2024
Javelin J-130,Embraer,USA,2024
Kite KS-450,Fairey Aviation,USA,2024
Lumen LS-880,Horten,USA,2024
Mirage MX-290,Britten-Norman Islander,USA,2024
Nimbus NX-310,PZL,USA,2024
Orion OX-460,Stardust,USA,2024
Pioneer PR-190,Beechcraft,USA,2024
Quantum Q-560,PZL,USA,2024
Raptor RT-730,Piper,USA,2024
Strato ST-210,Tempest Aero,USA,2024
Tempest TM-610,EADS,USA,2024
Upsilon UV-340,Ziro,USA,2024
Vivid V-420,Boeing,USA,2024
Warden W-480,Learjet,USA,2024
Xenon X-750,Rotax,USA,2024
Yield Y-290,Yakolev,USA,2024
Zenith ZN-560,Vickers,USA,2024
Aether AE-880,Vickers,USA,2024
Breeze BR-150,Gurevich,USA,2024
Crest CB-620,Antonov,USA,2024
Dart DS-380,Rotax,USA,2024
Eclipse EX-490,Gloster,USA,2024
Falcon FX-370,Sopwith,USA,2024
Glide GM-660,Sikorsky,USA,2024
Helix HX-530,Wright,USA,2024
Iris IR-810,de Havilland,USA,2024
Javelin J-210,Sukhoi,USA,2024
Kite KS-990,Temco Aeronautics,USA,2024
Lumen LS-340,Yakovlev,USA,2024
Mirage MX-470,Pratt & Whitney,USA,2024
Nimbus NX-210,Temco Aeronautics,USA,2024
Orion OX-560,Lockheed,USA,2024
Pioneer PR-710,Fairchild,USA,2024
Quantum Q-230,Tempest Aero,USA,2024
Raptor RT-450,Continental Motors,USA,2024
Strato ST-380,Mikoyan,USA,2024
Tempest TM-720,Rotax,USA,2024
Upsilon UV-480,Learjet,USA,2024
Vivid V-620,Sikorsky,USA,2024
Warden W-330,Tupolev,USA,2024
Xenon X-540,Fairchild Industries,USA,2024
Yield Y-420,Astraeus Aerospace,USA,2024
Zenith ZN-750,ZPL-Swidnik,USA,2024
Aegean AE-340,Parker Aerospace,USA,2024
SkyPower SP-560,Piaggio,USA,2024
Nimbus NX-470,Lockheed,USA,2024
Falcon FT-880,Britten-Norman Islander,USA,2024
Helix HX-260,Alenia,USA,2024
Lumen LS-550,Eriksen Aircraft,USA,2024
Mirage MX-610,Astraeus Aerospace,USA,2024
Nimbus NX-380,Vickers,USA,2024
Orion OX-720,Borel,USA,2024
Pioneer PR-430,Alenia Aeronautica,USA,2024
Quantum Q-880,Gulfstream Aerospace,USA,2024
Raptor RT-910,Borel,USA,2024
Strato ST-460,Junkers,USA,2024
Tempest TM-840,Pratt & Whitney,USA,2024
Upsilon UV-630,ZPL-Swidnik,USA,2024
Vivid V-750,Fairchild Industries,USA,2024
Warden W-590,Parker Aerospace,USA,2024
Xenon X-680,Embraer,USA,2024
Yield Y-610,Ilyushin,USA,2024
Zenith ZN-880,Stiner Aircraft,USA,2024
Aether AE-720,Yakolev,USA,2024
Breeze BR-210,Stardust,USA,2024
Crest CB-790,Bell,USA,2024
Dart DS-950,AeroVenture,USA,2024
Eclipse EX-780,Juno Aircraft,USA,2024
Falcon FT-340,CFM International,USA,2024
Glide GM-470,Hawker,USA,2024
Helix HX-550,Yakovlev,USA,2024
Iris IR-990,Rotax,USA,2024
Javelin J-840,Gloster,USA,2024
Kestrel KS-320,Raytheon,USA,2024
Maverick MV-710,Mitsubishi,USA,2024
Nimbus NX-540,Yakovlev,USA,2024
Orion OX-910,Ilyushin,USA,2024
Pioneer PR-560,Saab,USA,2024
Quantum Q-430,Temco Aeronautics,USA,2024
Raptor RT-620,Fairey Aviation,USA,2024
Strato ST-580,Dornier,USA,2024
Tempest TM-160,Antonov,USA,2024
Upsilon UV-770,Focke-Wulf,USA,2024
Vivid V-850,Horten,USA,2024
Warden W-730,AeroVenture,USA,2024
Xenon X-410,Saunders-Roe,USA,2024
Yield Y-880,Dassault,USA,2024
Zenith ZN-960,Sopwith,USA,2024
GE9X-117B,Zlin,USA,2024
Rolls-Royce UltraFan-2000,Zircon Aerospace,USA,2024
Pratt & Whitney PW1500GX,Hawker Beechcraft,USA,2024
CFM International LEAP-X2,Mikoyan,USA,2024
MTU Aero Engines V2500-E1,Eriksen Aircraft,USA,2024
Safran M80,Mitsubishi,USA,2024
Pratt & Whitney F119-PW-100,Ziro,USA,2024
GE J404-190,Wright,USA,2024
Rolls-Royce AE 2100,Arado,USA,2024
Honeywell HTF7000,Sukhoi,USA,2024
Rolls-Royce Trent XWB-84,Embraer,USA,2024
Airbus EB200,Temco Aeronautics,USA,2024
Boeing 787 GEnx-2B67,Astraeus Aerospace,USA,2024
Rolls-Royce RB.211-524,Kalinin,USA,2024
Pratt & Whitney PW4000,Ilyushin,USA,2024
Honeywell TFE731,Evektor,USA,2024
PT6A-67F,Embraer,USA,2024
Rotax 912 iS,Short Brothers,USA,2024
Thielert PD 300,Beech,USA,2024
GE9X-117B-2,Ziro,USA,2024
Rolls-Royce Ultrafan-2500,Boeing,USA,2024
Pratt & Whitney PW1900G,PZL,USA,2024
CFM International LEAP-1E,Embraer,USA,2024
Airbus A320neo CFM LEAP-1A,Zlin,USA,2024
GE9X-117B-3,Continental Motors,USA,2024
Rolls-Royce Trent 7000,Sukhoi,USA,2024
GE GEnx-2B61,Zodiac Aerospace,USA,2024
PT6D-31C,Cessna,USA,2024
PW1500G PMT,Dassault,USA,2024
Honeywell CEO-300,Tempest Aero,USA,2024
Safran Silvercrest,Bensen Aircraft,USA,2024
MTU Vteen-X,Mil,USA,2024
GE9X-117B-4,Ziro,USA,2024
Rolls-Royce Eagle III,Sabau Aerospace,USA,2024
Boeing 777X GTF-2B,Hawker,USA,2024
PT6A-62B,Gurevich,USA,2024
Lycoming IO-360,Miller Aeronautics,USA,2024
Rotax 915 iS,Moyes Aeronautics,USA,2024
GE9X-117B-5,Bensen Aircraft,USA,2024
Rolls-Royce Trent 500,Maule,USA,2024
CFM LEAP-X1,Maule,USA,2024
Airbus A350 PW4000,Short Brothers,USA,2024
Thompson Aero AE-110,Stiner Aircraft,USA,2024
Rolls-Royce Merlin 101,Tempest Aero,USA,2024
GE J408-190,Kalinin,USA,2024
Honeywell TFE731-600,Sikorsky,USA,2024
Safran CFM56-7B4,Rolls-Royce,USA,2024
Pratt & Whitney R-987,Learjet,USA,2024
GE9X-117B-6,Mooney,USA,2024
Rolls-Royce Trent 900,Sikorsky Aircraft,USA,2024
CFM LEAP-1B,Learjet,USA,2024
GE9X-117B-7,Bensen,USA,2024
Rolls-Royce Ultrafan-3000,Parker Aerospace,USA,2024
PW1500G PMT-2,Continental Motors,USA,2024
Honeywell HTF97,Cessna,USA,2024
MTU V2519,Zircon Aerospace,USA,2024
Safran M55,Gulfstream Aerospace,USA,2024
Lycoming O-580,Bell,USA,2024
Rotax 912 iS-155,Zircon Aerospace,USA,2024
GE9X-117B-8,Sopwith,USA,2024
Rolls-Royce Eagle IV,Ziro,USA,2024
Pratt & Whitney PW6000-2,Evektor,USA,2024
CFM LEAP-2,Focke-Wulf,USA,2024
Honeywell CEO-200,Bell,USA,2024
MTU V2500-E2,Yakovlev,USA,2024
GE9X-117B-9,Piaggio,USA,2024
Rolls-Royce Trent XWB-900,Mitsubishi,USA,2024
PW127N,Alenia Aeronautica,USA,2024
Lycoming IO-540,Pratt & Whitney,USA,2024
Rotax 912 iS-200,EADS,USA,2024
GE9X-117B-10,Mikoyan,USA,2024
Rolls-Royce Merlin 120,Arado,USA,2024
CFM LEAP-3,GE Aviation,USA,2024
Honeywell HTF7000-2,Fairey Aviation,USA,2024
Safran Silvercrest-2,Fokker,USA,2024
Pratt & Whitney PW4062,Embraer,USA,2024
GE J404-200,Hawker,USA,2024
Rolls-Royce AE 2100F,Fairchild Industries,USA,2024
PT6D-21B,Vickers,USA,2024
Honeywell TFE731-400,Eriksen Aircraft,USA,2024
Safran M85,PZL,USA,2024
GE9X-117B-11,Arado,USA,2024
Rolls-Royce Eagle V,Cessna,USA,2024
PW1500G PMT-3,Eve,USA,2024
Honeywell HTF7000-3,Sikorsky,USA,2024
MTU V2500-E3,Moyes Aeronautics,USA,2024
CFM LEAP-X3,Boeing,USA,2024
Rotax 915 iS-250,Eurocopter,USA,2024
GE9X-117B-12,Yakovlev,USA,2024
Rolls-Royce Trent 750,Gurevich,USA,2024
Pratt & Whitney PW127Q,Tupolev,USA,2024
CFM LEAP-4,Stardust,USA,2024
Honeywell CEO-350,Fokker,USA,2024
Safran M90,CFM International,USA,2024
Lycoming O-430,Pratt & Whitney,USA,2024
AeroTech V1-100,Short Brothers,USA,2024
AeroTech V2-200,Eriksen Aircraft,USA,2024
AeroTech V3-300,Ziro,USA,2024
AeroTech V4-400,Continental Motors,USA,2024
AeroTech V5-500,Sabau Aerospace,USA,2024
AeroTech V6-600,Eriksen Aircraft,USA,2024
AeroTech V7-700,Eve,USA,2024
AeroTech V8-800,Northrop,USA,2024
AeroTech V9-900,Breguet,USA,2024
AeroTech V10-1000,Parker Aerospace,USA,2024
SkyPower 200,Dassault,USA,2024
SkyPower 400,Moller,USA,2024
SkyPower 600,Learjet,USA,2024
SkyPower 800,Northrop,USA,2024
SkyPower 1000,Britten-Norman,USA,2024
PearlFusion X1,AeroVenture,USA,2024
PearlFusion X2,Horten,USA,2024
PearlFusion X3,Kalinin,USA,2024
PearlFusion X4,Saunders-Roe,USA,2024
PearlFusion X5,Piaggio,USA,2024
PearlFusion X6,Westland Aircraft,USA,2024
PearlFusion X7,Pratt & Whitney,USA,2024
PearlFusion X8,Eve,USA,2024
NimbusCore Alpha,Westland Aircraft,USA,2024
NimbusCore Beta,Pratt & Whitney,USA,2024
NimbusCore Gamma,Eurocopter,USA,2024
NimbusCore Delta,Raytheon,USA,2024
NimbusCore Epsilon,Astraeus Aerospace,USA,2024
VanguardX 101,Mil,USA,2024
VanguardX 102,Bensen Aircraft,USA,2024
VanguardX 103,Ziro,USA,2024
VanguardX 104,Piaggio,USA,2024
VanguardX 105,Bensen Aircraft,USA,2024
VanguardX 106,Vickers,USA,2024
HelixBoost 210,Mikoyan,USA,2024
HelixBoost 220,Continental Motors,USA,2024
HelixBoost 230,Avro,USA,2024
HelixBoost 240,Fairey Aviation,USA,2024
HelixBoost 250,Miller Aeronautics,USA,2024
HelixBoost 260,Sabau Aerospace,USA,2024
QuartzEngine M1,Temco Aeronautics,USA,2024
QuartzEngine M2,Heinkel,USA,2024
QuartzEngine M3,Juno Aircraft,USA,2024
QuartzEngine M4,Arado,USA,2024
QuartzEngine M5,AeroVenture,USA,2024
QuartzEngine M6,Eriksen Aircraft,USA,2024
AuroraDrive 301,Wright,USA,2024
AuroraDrive 302,Temco Aeronautics,USA,2024
AuroraDrive 303,Parker Aerospace,USA,2024
AuroraDrive 304,Stiner Aircraft,USA,2024
AuroraDrive 305,Rolls-Royce,USA,2024
AuroraDrive 306,EADS,USA,2024
TitanForce 401,Yakolev,USA,2024
TitanForce 402,Short Brothers,USA,2024
TitanForce 403,AeroVenture,USA,2024
TitanForce 404,Miles Aircraft,USA,2024
TitanForce 405,CFM International,USA,2024
TitanForce 406,EADS,USA,2024
EclipseCore A1,Mikoyan,USA,2024
EclipseCore A2,Horten,USA,2024
EclipseCore A3,Juno Aircraft,USA,2024
EclipseCore A4,Yakolev,USA,2024
EclipseCore A5,Gulfstream,USA,2024
EclipseCore A6,Astraeus Aerospace,USA,2024
ZenithPower B1,Sikorsky,USA,2024
ZenithPower B2,Eurocopter,USA,2024
ZenithPower B3,Gurevich,USA,2024
ZenithPower B4,Wright,USA,2024
ZenithPower B5,Zlin,USA,2024
ZenithPower B6,Rolls-Royce,USA,2024
StratoEngine C1,Fairchild,USA,2024
StratoEngine C2,Kalinin,USA,2024
StratoEngine C3,Miles Aircraft,USA,2024
StratoEngine C4,Moyes Aeronautics,USA,2024
StratoEngine C5,Learjet,USA,2024
StratoEngine C6,Sikorsky Aircraft,USA,2024
PulseJet D1,Sikorsky Aircraft,USA,2024
PulseJet D2,Safran,USA,2024
PulseJet D3,Mikoyan,USA,2024
PulseJet D4,Mikoyan,USA,2024
PulseJet D5,Stardust,USA,2024
PulseJet D6,Junkers,USA,2024
NebulaDrive E1,Zodiac Aerospace,USA,2024
NebulaDrive E2,EADS,USA,2024
NebulaDrive E3,Saab,USA,2024
NebulaDrive E4,Kawanishi,USA,2024
NebulaDrive E5,Fokker,USA,2024
NebulaDrive E6,Kawanishi,USA,2024
AlphaCore F1,Saab,USA,2024
AlphaCore F2,EADS,USA,2024
AlphaCore F3,Maule,USA,2024
AlphaCore F4,Piaggio,USA,2024
AlphaCore F5,Stiner Aircraft,USA,2024
AlphaCore F6,Sukhoi,USA,2024
BetaBoost G1,Hawker,USA,2024
BetaBoost G2,Mooney,USA,2024
BetaBoost G3,Miles Aircraft,USA,2024
BetaBoost G4,Alenia Aeronautica,USA,2024
BetaBoost G5,Aviat,USA,2024
BetaBoost G6,Britten-Norman Islander,USA,2024
GammaPower H1,Sopwith,USA,2024
GammaPower H2,Pratt & Whitney,USA,2024
GammaPower H3,Mitsubishi,USA,2024
GammaPower H4,Britten-Norman Islander,USA,2024
GammaPower H5,Aviat,USA,2024
GammaPower H6,Dassault,USA,2024
DeltaDrive I1,Zlin,USA,2024
DeltaDrive I2,Antonov,USA,2024
DeltaDrive I3,Short Brothers,USA,2024
DeltaDrive I4,Avro,USA,2024
DeltaDrive I5,Boeing,USA,2024
DeltaDrive I6,Learjet,USA,2024
EpsilonCore J1,Fairchild Industries,USA,2024
EpsilonCore J2,Mikoyan,USA,2024
EpsilonCore J3,Britten-Norman Islander,USA,2024
EpsilonCore J4,Westland Aircraft,USA,2024
EpsilonCore J5,Raytheon,USA,2024
EpsilonCore J6,Sopwith,USA,2024
ZetaEngine K1,Wright,USA,2024
ZetaEngine K2,Astraeus Aerospace,USA,2024
ZetaEngine K3,Miles Aircraft,USA,2024
ZetaEngine K4,Moyes Aeronautics,USA,2024
ZetaEngine K5,Antonov,USA,2024
ZetaEngine K6,Evektor,USA,2024
ThetaCore L1,Evektor,USA,2024
