ID,FirstClassCount,BusinessClassCount,EconomyCount,PilotCount,OtherCount
10239,20,0,74,2,4
10240,4,16,109,2,6
10241,1,11,135,2,2
10242,2,9,110,2,3
10243,0,23,336,2,2
10244,16,29,391,2,5
10245,17,20,90,2,7
10246,6,7,255,2,1
10247,9,7,123,2,2
10248,13,38,77,2,4
10249,14,10,306,2,8
10250,20,28,67,2,3
10251,8,34,354,2,7
10252,13,38,218,2,0
10253,19,10,141,2,1
10254,20,39,367,2,8
10255,9,17,134,2,9
10256,13,9,171,2,0
10257,18,4,270,2,2
10258,20,11,268,2,4
10259,2,40,100,2,4
10260,17,35,327,2,3
10261,9,39,162,2,5
10262,2,16,325,2,7
10263,9,15,330,2,10
10264,10,24,94,2,1
10265,11,31,91,2,8
10266,6,16,113,2,6
10267,16,28,227,2,3
10268,16,11,231,2,10
10269,17,26,121,2,3
10270,0,9,312,2,10
10271,15,29,113,2,8
10272,16,11,68,2,1
10273,1,16,356,2,10
10274,15,37,114,2,5
10275,2,30,312,2,5
10276,16,39,150,2,10
10277,8,33,59,2,0
10278,17,14,167,2,1
10279,1,2,198,2,8
10280,10,29,307,2,5
10281,20,12,304,2,10
10282,2,10,108,2,2
10283,8,36,69,2,10
10284,9,22,330,2,10
10285,5,36,327,2,1
10286,17,28,111,2,10
10287,15,17,313,2,8
10288,15,27,392,2,2
10289,20,3,155,2,0
10290,2,2,73,2,2
10291,3,7,244,2,0
10292,1,9,90,2,3
10293,1,5,269,2,5
10294,2,27,298,2,4
10295,13,18,104,2,9
10296,5,12,167,2,7
10297,5,27,319,2,1
10298,19,0,191,2,0
10299,18,0,94,2,9
10300,16,18,352,2,5
10301,10,7,284,2,2
10302,18,7,354,2,4
10303,7,16,219,2,3
10304,0,10,253,2,8
10305,0,18,358,2,2
10306,15,25,396,2,0
10307,17,1,340,2,8
10308,15,30,247,2,7
10309,14,5,186,2,6
10310,3,2,98,2,0
10311,6,32,214,2,5
10312,10,8,354,2,4
10313,8,8,58,2,8
10314,7,3,235,2,0
10315,15,9,313,2,0
10316,5,29,70,2,7
10317,18,18,232,2,5
10318,5,33,134,2,1
10319,0,7,202,2,7
10320,1,24,271,2,6
10321,3,1,161,2,7
10322,14,11,134,2,5
10323,15,31,234,2,3
10324,18,30,157,2,6
10325,4,16,228,2,6
10326,14,0,197,2,3
10327,8,11,160,2,7
10328,12,40,178,2,1
10329,8,8,352,2,0
10330,7,12,384,2,7
10331,6,25,272,2,1
10332,4,2,125,2,3
10333,16,36,186,2,5
10334,8,31,232,2,4
10335,10,23,327,2,10
10336,9,13,202,2,4
10337,6,28,240,2,6
10338,20,6,117,2,3
10339,5,22,285,2,0
10340,12,37,249,2,8
10341,14,11,121,2,1
10342,11,7,337,2,8
10343,6,38,105,2,6
10344,5,39,72,2,10
10345,16,19,106,2,3
10346,13,11,146,2,0
10347,2,9,240,2,2
10348,18,24,214,2,3
10349,9,18,320,2,1
10350,8,22,158,2,6
10351,7,25,270,2,2
10352,15,33,112,2,2
10353,3,18,135,2,3
10354,13,29,318,2,0
10355,13,0,272,2,6
10356,15,8,62,2,7
10357,14,29,307,2,2
10358,2,0,376,2,10
10359,0,21,109,2,3
10360,15,24,348,2,6
10361,2,16,103,2,2
10362,17,8,284,2,9
10363,3,7,292,2,1
10364,18,2,212,2,0
10365,17,20,302,2,3
10366,8,16,166,2,3
10367,5,21,331,2,5
10368,7,12,301,2,6
10369,11,22,168,2,5
10370,10,27,60,2,1
10371,10,29,294,2,4
10372,18,38,370,2,3
10373,7,27,199,2,5
10374,6,11,150,2,2
10375,9,2,99,2,5
10376,19,33,98,2,3
10377,18,28,161,2,7
10378,15,26,144,2,0
10379,13,2,97,2,5
10380,3,35,374,2,7
10381,2,27,123,2,6
10382,0,21,325,2,0
10383,8,14,302,2,9
10384,13,37,251,2,9
10385,2,35,315,2,7
10386,1,25,158,2,10
10387,0,13,192,2,5
10388,2,19,312,2,2
10389,19,15,259,2,6
10390,11,17,325,2,8
10391,15,15,283,2,1
10392,7,24,174,2,3
10393,2,15,241,2,7
10394,8,10,304,2,3
10395,19,39,272,2,3
10396,10,9,391,2,6
10397,19,17,208,2,10
10398,17,19,266,2,4
10399,1,13,104,2,6
10400,15,32,271,2,0
10401,13,1,201,2,3
10402,10,9,324,2,10
10403,0,32,150,2,1
10404,10,19,216,2,10
10405,4,17,210,2,8
10406,17,1,350,2,0
10407,9,36,393,2,2
10408,16,37,322,2,8
10409,1,4,89,2,2
10410,19,35,317,2,6
10411,2,21,109,2,5
10412,5,17,108,2,3
10413,11,18,400,2,10
10414,7,23,347,2,7
10415,8,33,319,2,9
10416,10,34,350,2,5
10417,14,25,318,2,8
10418,4,14,70,2,8
10419,9,5,362,2,1
10420,3,28,277,2,2
10421,2,39,138,2,7
10422,19,38,339,2,6
10423,15,5,199,2,5
10424,5,18,309,2,9
10425,17,31,211,2,2
10426,0,36,187,2,7
10427,6,35,380,2,2
10428,19,35,50,2,1
10429,6,38,189,2,8
10430,15,8,111,2,4
10431,15,20,121,2,2
10432,11,28,367,2,2
10433,16,23,292,2,2
10434,17,1,385,2,2
10435,5,10,376,2,8
10436,4,22,188,2,3
10437,14,26,295,2,8
10438,14,5,263,2,3
10439,5,16,275,2,2
10440,20,20,276,2,10
10441,5,6,279,2,10
10442,17,28,362,2,1
10443,12,14,293,2,3
10444,16,29,157,2,7
10445,17,21,386,2,9
10446,7,33,69,2,2
10447,10,20,244,2,0
10448,16,25,260,2,6
10449,16,19,372,2,0
10450,5,32,394,2,0
10451,0,13,91,2,7
10452,1,18,392,2,5
10453,13,22,163,2,10
10454,4,14,378,2,10
10455,16,30,116,2,6
10456,17,0,325,2,1
10457,18,30,52,2,2
10458,4,21,211,2,4
10459,19,14,50,2,10
10460,19,29,212,2,6
10461,14,26,143,2,7
10462,11,25,217,2,5
10463,4,18,99,2,5
10464,15,6,305,2,9
10465,18,2,257,2,3
10466,14,31,369,2,5
10467,3,30,313,2,7
10468,11,5,316,2,10
10469,7,35,337,2,1
10470,1,28,121,2,9
10471,9,8,306,2,6
10472,3,5,67,2,3
10473,15,33,118,2,6
10474,2,34,188,2,6
10475,2,4,116,2,8
10476,17,40,112,2,6
10477,5,7,63,2,3
10478,4,5,164,2,8
10479,17,33,154,2,9
10480,7,21,170,2,4
10481,19,39,322,2,10
10482,19,2,361,2,7
10483,11,14,137,2,1
10484,19,4,288,2,10
10485,20,30,333,2,0
10486,2,20,98,2,7
10487,11,36,85,2,0
10488,3,0,145,2,3
10489,18,7,301,2,1
10490,0,24,148,2,9
10491,6,5,365,2,10
10492,15,29,313,2,8
10493,6,39,304,2,9
10494,5,0,129,2,7
10495,10,21,397,2,7
10496,4,30,299,2,8
10497,7,15,268,2,10
10498,1,32,56,2,7
10499,20,19,241,2,8
10500,9,2,366,2,9
10501,5,19,222,2,6
10502,12,16,58,2,0
10503,7,30,67,2,8
10504,18,38,90,2,10
10505,11,38,366,2,5
10506,1,25,143,2,0
10507,12,24,287,2,8
10508,20,36,109,2,2
10509,2,24,168,2,0
10510,4,14,263,2,5
10511,15,22,246,2,9
10512,13,16,227,2,6
10513,7,10,238,2,3
10514,4,4,308,2,0
10515,20,17,129,2,8
10516,6,23,236,2,3
10517,17,20,191,2,2
10518,20,0,109,2,3
10519,18,11,162,2,5
10520,6,25,268,2,4
10521,4,37,325,2,6
10522,16,25,206,2,1
10523,13,34,173,2,6
10524,19,38,343,2,8
10525,17,18,354,2,0
10526,19,22,174,2,9
10527,2,16,243,2,0
10528,18,24,137,2,9
10529,4,31,213,2,10
10530,20,13,143,2,10
10531,1,17,396,2,10
10532,14,38,398,2,2
10533,3,17,263,2,1
10534,0,37,333,2,8
10535,18,32,194,2,1
10536,9,39,292,2,2
10537,3,40,332,2,2
10538,17,38,88,2,10
10539,12,17,186,2,1
10540,5,4,136,2,2
10541,2,29,195,2,0
10542,20,7,67,2,9
10543,1,30,361,2,5
10544,19,20,380,2,8
10545,3,23,186,2,8
10546,17,9,52,2,7
10547,3,29,316,2,3
10548,9,33,249,2,8
10549,3,39,234,2,2
10550,6,6,210,2,1
10551,2,27,157,2,1
10552,20,7,207,2,6
10553,0,37,210,2,9
10554,8,13,343,2,4
10555,11,29,247,2,6
10556,5,30,370,2,10
10557,12,6,325,2,5
10558,11,35,307,2,3
10559,10,38,165,2,5
10560,1,23,328,2,0
10561,17,7,111,2,10
10562,16,28,323,2,1
10563,2,26,392,2,2
10564,0,8,326,2,5
10565,14,0,129,2,3
10566,10,26,399,2,1
10567,11,19,82,2,0
10568,14,24,224,2,1
10569,13,38,292,2,10
10570,0,36,186,2,1
10571,12,18,88,2,5
10572,11,38,316,2,2
10573,18,18,202,2,6
10574,3,18,250,2,8
10575,10,17,377,2,7
10576,16,27,239,2,7
10577,6,4,379,2,1
10578,2,5,53,2,8
10579,20,23,285,2,0
10580,16,18,263,2,8
10581,10,8,65,2,4
10582,9,40,148,2,0
10583,2,11,172,2,8
10584,1,30,105,2,4
10585,9,37,112,2,5
10586,3,15,146,2,10
10587,18,9,88,2,0
10588,20,33,142,2,0
10589,15,3,330,2,4
10590,15,12,172,2,3
10591,17,4,110,2,9
10592,7,7,318,2,9
10593,19,29,106,2,5
10594,18,31,52,2,5
10595,18,39,207,2,7
10596,10,19,218,2,3
10597,13,6,279,2,4
10598,8,36,235,2,2
10599,7,24,381,2,2
10600,18,24,149,2,9
10601,13,1,298,2,1
10602,16,28,95,2,8
10603,19,5,320,2,5
10604,8,16,400,2,3
10605,11,11,388,2,8
10606,19,4,185,2,8
10607,14,9,162,2,8
10608,9,33,331,2,5
10609,3,7,116,2,10
10610,17,24,316,2,1
10611,7,3,269,2,8
10612,0,6,70,2,1
10613,20,13,71,2,8
10614,1,16,314,2,7
10615,8,13,65,2,9
10616,0,2,189,2,5
10617,5,19,259,2,4
10618,12,38,246,2,6
10619,9,33,264,2,5
10620,9,20,255,2,3
10621,18,1,236,2,2
10622,20,38,162,2,1
10623,17,28,226,2,9
10624,19,35,331,2,1
10625,14,28,110,2,9
10626,8,17,347,2,2
10627,11,29,279,2,6
10628,6,32,173,2,5
10629,8,36,89,2,9
10630,15,40,335,2,9
10631,3,5,50,2,10
10632,17,11,342,2,6
10633,16,39,81,2,10
10634,15,38,380,2,3
10635,12,36,251,2,6
10636,3,25,351,2,6
10637,17,39,328,2,9
10638,20,25,111,2,7
10639,5,5,66,2,5
10640,20,22,58,2,3
10641,7,6,118,2,6
10642,14,1,65,2,0
10643,16,0,254,2,6
10644,13,33,99,2,5
10645,2,39,130,2,0
10646,1,35,177,2,2
10647,9,25,163,2,8
10648,0,32,91,2,2
10649,12,30,303,2,5
10650,12,4,107,2,5
10651,20,2,320,2,8
10652,8,36,231,2,5
10653,0,14,320,2,4
10654,18,14,121,2,2
10655,11,27,224,2,9
10656,18,19,354,2,10
10657,1,30,395,2,8
10658,20,17,192,2,8
10659,15,13,75,2,2
10660,13,12,68,2,0
10661,3,30,336,2,7
10662,15,16,272,2,3
10663,17,17,158,2,5
10664,6,38,104,2,7
10665,6,25,187,2,3
10666,15,27,114,2,7
10667,1,2,142,2,2
10668,12,14,307,2,2
10669,11,8,64,2,4
10670,8,23,382,2,10
10671,15,22,233,2,8
10672,1,24,127,2,9
10673,12,32,249,2,6
10674,15,27,303,2,2
10675,5,24,96,2,8
10676,19,39,291,2,6
10677,20,1,251,2,6
10678,4,21,108,2,0
10679,15,1,349,2,10
10680,2,21,249,2,2
10681,4,26,174,2,6
10682,17,4,118,2,4
10683,19,21,251,2,9
10684,12,21,320,2,6
10685,18,33,239,2,1
10686,3,0,267,2,7
10687,13,38,131,2,7
10688,0,10,395,2,7
10689,14,28,87,2,5
10690,8,2,319,2,8
10691,16,34,279,2,0
10692,1,16,335,2,1
10693,1,16,232,2,2
10694,8,15,378,2,8
10695,4,30,184,2,4
10696,8,32,259,2,0
10697,16,39,109,2,2
10698,4,1,101,2,2
10699,14,7,101,2,9
10700,8,9,387,2,3
10701,0,33,97,2,3
10702,15,9,253,2,1
10703,19,4,340,2,0
10704,20,1,242,2,0
10705,3,18,153,2,3
10706,12,14,200,2,0
10707,11,28,156,2,8
10708,8,40,299,2,8
10709,19,10,98,2,7
10710,19,19,158,2,7
10711,0,7,177,2,8
10712,20,40,163,2,5
10713,2,12,266,2,3
10714,6,29,343,2,1
10715,12,15,371,2,3
10716,13,20,394,2,8
10717,4,35,235,2,0
10718,17,1,163,2,9
10719,1,4,161,2,3
10720,15,40,59,2,6
10721,7,23,347,2,9
10722,15,32,394,2,1
10723,12,4,241,2,1
10724,1,37,322,2,0
10725,0,37,243,2,5
10726,4,14,111,2,7
10727,14,18,79,2,9
10728,9,11,291,2,2
10729,17,18,156,2,3
10730,10,33,243,2,5
10731,4,6,147,2,2
10732,2,25,146,2,5
10733,8,9,117,2,10
10734,6,19,162,2,1
10735,10,24,296,2,1
10736,20,14,390,2,3
10737,6,39,305,2,8
10738,13,0,390,2,7
10739,9,3,89,2,2
10740,2,0,384,2,1
10741,18,11,191,2,8
10742,4,5,130,2,10
10743,3,15,241,2,0
10744,10,24,95,2,9
10745,6,12,311,2,5
10746,20,15,151,2,0
10747,5,38,95,2,9
10748,15,28,340,2,8
10749,11,33,347,2,1
10750,16,6,181,2,2
10751,20,15,243,2,2
10752,18,21,363,2,7
10753,16,21,110,2,0
10754,8,5,314,2,5
10755,8,29,388,2,7
10756,4,1,339,2,6
10757,20,17,326,2,6
10758,12,26,169,2,1
10759,0,40,302,2,9
10760,11,1,158,2,5
10761,18,28,159,2,6
10762,20,3,87,2,8
10763,5,26,161,2,7
10764,4,15,277,2,10
10765,10,6,150,2,2
10766,19,32,89,2,6
10767,9,21,199,2,1
10768,19,2,291,2,1
10769,2,22,84,2,1
10770,11,6,144,2,3
10771,0,28,234,2,5
10772,11,14,285,2,9
10773,9,34,396,2,6
10774,19,0,95,2,0
10775,2,34,88,2,9
10776,14,3,234,2,6
10777,1,38,283,2,4
10778,17,7,268,2,10
10779,16,29,383,2,5
10780,18,27,98,2,9
10781,11,21,277,2,0
10782,8,21,279,2,10
10783,5,39,271,2,1
10784,6,20,398,2,2
10785,11,18,224,2,4
10786,6,5,351,2,4
10787,12,2,246,2,10
10788,6,15,204,2,2
10789,4,24,288,2,7
10790,13,8,259,2,7
10791,10,27,88,2,9
10792,11,12,62,2,8
10793,19,31,307,2,1
10794,17,19,360,2,6
10795,0,4,196,2,1
10796,15,22,256,2,4
10797,9,25,380,2,9
10798,5,7,234,2,5
10799,13,17,189,2,8
10800,7,8,312,2,8
10801,12,18,298,2,5
10802,20,4,313,2,2
10803,0,13,375,2,8
10804,7,10,56,2,9
10805,5,12,74,2,4
10806,7,25,383,2,1
10807,12,19,333,2,8
10808,1,5,322,2,5
10809,15,23,141,2,5
10810,16,9,361,2,7
10811,11,14,62,2,8
10812,12,1,274,2,7
10813,9,29,158,2,10
10814,15,0,234,2,9
10815,20,36,363,2,1
10816,0,23,199,2,9
10817,15,8,265,2,8
10818,6,39,340,2,6
10819,0,4,120,2,3
10820,9,4,369,2,7
10821,13,6,331,2,0
10822,2,29,237,2,2
10823,5,32,74,2,0
10824,0,7,168,2,8
10825,8,30,313,2,9
10826,11,7,277,2,10
10827,16,35,153,2,4
10828,4,28,175,2,7
10829,20,30,68,2,9
10830,1,20,242,2,2
10831,9,29,358,2,6
10832,11,33,283,2,3
10833,19,15,130,2,4
10834,2,13,158,2,0
10835,6,27,131,2,6
10836,19,21,320,2,5
10837,8,14,262,2,2
10838,19,40,160,2,2
10839,2,23,274,2,3
10840,14,30,102,2,6
10841,4,17,260,2,5
10842,11,10,225,2,7
10843,13,13,292,2,2
10844,10,34,367,2,8
10845,20,21,170,2,4
10846,20,32,125,2,6
10847,15,14,348,2,3
10848,0,19,152,2,1
10849,6,26,258,2,8
10850,6,33,306,2,10
10851,1,15,236,2,1
10852,2,5,82,2,8
10853,0,3,343,2,9
10854,20,17,319,2,2
10855,10,19,368,2,8
10856,12,28,83,2,8
10857,6,32,205,2,10
10858,13,27,267,2,3
10859,10,14,214,2,6
10860,10,27,370,2,3
10861,11,35,257,2,6
10862,15,19,242,2,5
10863,4,22,136,2,5
10864,2,25,126,2,6
10865,6,12,272,2,9
10866,12,32,143,2,5
10867,0,39,228,2,4
10868,9,32,396,2,3
10869,11,6,105,2,9
10870,20,25,104,2,8
10871,6,0,254,2,10
10872,16,9,274,2,2
10873,15,4,393,2,0
10874,2,30,121,2,7
10875,10,36,233,2,8
10876,19,20,328,2,7
10877,3,34,347,2,8
10878,6,2,307,2,1
10879,2,12,154,2,9
10880,5,27,359,2,6
10881,17,33,272,2,6
10882,17,3,65,2,8
10883,15,3,337,2,7
10884,17,24,66,2,2
10885,0,32,290,2,10
10886,12,1,258,2,4
10887,4,5,130,2,8
10888,12,29,97,2,9
10889,3,36,85,2,8
10890,2,33,255,2,9
10891,7,2,69,2,7
10892,12,16,129,2,9
10893,4,29,174,2,6
10894,13,26,278,2,3
10895,20,34,379,2,0
10896,5,30,297,2,8
10897,4,20,199,2,6
10898,13,11,387,2,2
10899,7,9,316,2,5
