AircraftName,VariantName,Range
B-1 Lancer,Mk.I-72,5464.67
C-17 Globemaster III,B-92,6182.66
C-17 Globemaster III,Max-92,737.84
C-17 Globemaster III,ER-6,1542.11
C-17 Globemaster III,B-67,6793.41
A-3 Skywarrior,100-98,4314.3
A-3 Skywarrior,200-27,6191.03
A-3 Skywarrior,LR-60,1972.8
A-3 Skywarrior,B-87,5977.84
F4U Corsair,100-35,6560.56
F4U Corsair,100-85,4167.19
F4U Corsair,A-40,6732.79
F4U Corsair,LR-61,2897.69
P-47 Thunderbolt,200-82,822.18
P-47 Thunderbolt,100-28,5459.27
P-47 Thunderbolt,Mk.I-96,4126.07
P-47 Thunderbolt,Neo-29,4290.1
F-86 Sabre,B-38,2125.46
F-86 Sabre,200-14,5405.12
F-86 Sabre,Neo-33,530.4
F-86 Sabre,Mk.I-80,944.56
MiG-23,A-38,7903.32
MiG-23,Max-26,5216.59
MiG-23,Mk.I-89,6164.64
MiG-23,200-3,1182.56
Il-2 Sturmovik,A-6,6052.86
Il-2 Sturmovik,Neo-53,1193.04
Il-2 Sturmovik,LR-84,3619.0
Il-2 Sturmovik,LR-67,1455.29
B-47 Stratojet,B-3,7944.36
B-47 Stratojet,200-99,6251.73
B-47 Stratojet,200-59,6838.0
B-47 Stratojet,LR-93,7339.25
MiG-24,100-86,6159.14
MiG-24,LR-69,2997.54
MiG-24,200-33,5060.0
MiG-24,LR-73,4491.29
B-29 Superfortress,Mk.I-96,6488.35
B-29 Superfortress,ER-8,4697.02
B-29 Superfortress,ER-51,1292.91
B-29 Superfortress,B-39,4999.51
P-38 Lightning,Neo-28,1138.48
P-38 Lightning,100-27,1291.19
P-38 Lightning,B-68,6545.14
P-38 Lightning,100-90,5757.26
F-14 Tomcat,LR-99,7920.46
F-14 Tomcat,B-46,5957.99
F-14 Tomcat,200-43,2043.78
F-14 Tomcat,ER-1,6115.35
MiG-35,A-61,6200.27
MiG-35,Neo-52,1291.01
MiG-35,100-77,7565.4
MiG-35,100-73,2465.17
Yak-3,Max-44,3526.08
Yak-3,Max-80,6192.59
Yak-3,A-70,4765.26
Yak-3,100-72,4717.05
Dornier Do 217,100-49,3179.8
Dornier Do 217,Max-42,7518.78
Dornier Do 217,100-5,3866.55
Dornier Do 217,Neo-57,572.37
Heinkel He 111,Mk.I-53,1063.69
Heinkel He 111,Mk.I-1,2245.37
Heinkel He 111,LR-68,2163.1
Heinkel He 111,ER-83,3911.38
Ju-87 Stuka,LR-10,1629.34
Ju-87 Stuka,200-5,2029.9
Ju-87 Stuka,B-78,1368.66
Ju-87 Stuka,B-39,7030.64
He-162 Salamander,LR-61,2802.33
He-162 Salamander,Neo-15,4218.9
He-162 Salamander,100-76,2469.08
He-162 Salamander,LR-64,3568.56
B-66 Destroyer,200-11,5832.05
B-66 Destroyer,LR-60,4966.07
B-66 Destroyer,B-69,4765.58
B-66 Destroyer,LR-64,6615.31
F-104 Starfighter,Neo-66,6190.39
F-104 Starfighter,A-77,7094.85
F-104 Starfighter,200-37,7678.05
F-104 Starfighter,Max-59,5698.96
F-105 Thunderchief,B-69,1234.64
F-105 Thunderchief,100-46,2378.61
F-105 Thunderchief,ER-1,2382.67
F-105 Thunderchief,100-84,1047.69
F-111 Aardvark,200-12,5880.24
F-111 Aardvark,B-13,6065.92
F-111 Aardvark,100-74,2410.43
F-111 Aardvark,ER-80,6354.39
A-20 Havoc,ER-88,975.62
A-20 Havoc,B-49,5031.15
A-20 Havoc,Neo-1,3451.63
A-20 Havoc,100-91,6770.99
B-26 Invader,LR-33,1789.3
B-26 Invader,100-91,3861.15
B-26 Invader,LR-92,2555.49
B-26 Invader,200-99,2937.34
P-39 Airacobra,Max-17,7751.3
P-39 Airacobra,B-88,7165.84
P-39 Airacobra,B-3,4188.4
P-39 Airacobra,100-82,7623.79
Piaggio Avanti,Max-93,4344.13
Piaggio Avanti,100-91,4692.37
Piaggio Avanti,ER-39,6173.56
Piaggio Avanti,100-54,1626.85
Learjet 45,Mk.I-80,2939.47
Learjet 45,Neo-37,2498.29
Learjet 45,Neo-10,3928.41
Learjet 45,A-95,7235.32
Cessna Citation Excel,100-58,3713.84
Cessna Citation Excel,B-19,1320.26
Cessna Citation Excel,200-12,832.56
Cessna Citation Excel,200-83,1408.19
Dassault Falcon 7X,B-42,2886.33
Dassault Falcon 7X,Max-18,4189.83
Dassault Falcon 7X,100-8,1947.48
Dassault Falcon 7X,A-52,6353.11
Gulfstream G650,B-70,3692.25
Gulfstream G650,100-23,2230.07
Gulfstream G650,ER-96,1012.76
Gulfstream G650,Max-13,6676.92
Hawker 800XP,100-30,4599.85
Hawker 800XP,LR-32,1414.78
Hawker 800XP,Neo-33,6674.39
Hawker 800XP,Max-56,4536.45
Embraer Phenom 300,Mk.I-74,2279.44
Embraer Phenom 300,100-29,500.72
Embraer Phenom 300,200-24,7265.13
Embraer Phenom 300,Max-50,5146.45
Bombardier Global 6000,Mk.I-57,904.42
Bombardier Global 6000,Max-73,2227.32
Bombardier Global 6000,LR-28,6887.24
Bombardier Global 6000,100-50,1050.96
McDonnell Douglas DC-10,ER-3,3472.74
McDonnell Douglas DC-10,A-28,3642.23
McDonnell Douglas DC-10,A-61,1170.15
McDonnell Douglas DC-10,100-27,7720.52
Boeing 737,B-22,3306.92
Boeing 737,Mk.I-74,905.75
Boeing 737,Neo-5,7202.91
Boeing 737,LR-97,6615.43
Boeing 777,ER-31,5018.38
Boeing 777,Neo-29,5075.45
Boeing 777,Max-65,1101.3
Boeing 777,ER-43,6962.96
Boeing 787 Dreamliner,B-5,7658.13
Boeing 787 Dreamliner,Mk.I-67,4035.2
Boeing 787 Dreamliner,LR-89,7003.54
Boeing 787 Dreamliner,Neo-43,7783.79
Airbus A380,200-45,2778.39
Airbus A380,100-80,5195.04
Airbus A380,Neo-15,895.21
Airbus A380,100-57,3027.07
Sukhoi Su-57,B-43,6356.32
Sukhoi Su-57,ER-17,2898.81
Sukhoi Su-57,LR-50,6141.0
Sukhoi Su-57,Neo-96,7304.46
KAI T-50 Golden Eagle,B-22,1712.02
KAI T-50 Golden Eagle,A-38,7621.16
KAI T-50 Golden Eagle,100-88,3061.08
KAI T-50 Golden Eagle,100-27,1247.16
MiG-25 Foxbat,LR-83,1209.93
MiG-25 Foxbat,LR-53,2869.39
MiG-25 Foxbat,Mk.I-68,6342.8
MiG-25 Foxbat,200-93,4770.18
Mitsubishi A6M Zero,B-65,6440.45
Mitsubishi A6M Zero,ER-1,1165.64
Mitsubishi A6M Zero,200-11,7117.44
Mitsubishi A6M Zero,Neo-63,2696.23
de Havilland DH.60 Moth,ER-83,4438.01
de Havilland DH.60 Moth,Mk.I-4,5870.25
de Havilland DH.60 Moth,Max-17,4028.77
de Havilland DH.60 Moth,Max-59,4539.46
Tupolev Tu-144,200-22,4283.56
Tupolev Tu-144,A-9,5484.6
Tupolev Tu-144,100-91,2060.02
Tupolev Tu-144,B-30,1624.17
Concorde,B-69,7655.96
Concorde,Max-5,7450.82
Concorde,Neo-30,4228.86
Concorde,200-47,6812.82
F-9F Fury,200-76,6876.31
F-9F Fury,B-56,4768.12
F-9F Fury,Max-55,5701.52
F-9F Fury,LR-69,5583.61
B-57 Canberra,100-23,1105.68
B-57 Canberra,200-97,1038.19
B-57 Canberra,Max-13,7080.48
B-57 Canberra,LR-69,7400.35
MiG-27 Flogger,ER-76,1665.21
MiG-27 Flogger,A-35,3956.0
MiG-27 Flogger,Max-29,5414.07
MiG-27 Flogger,100-77,3151.43
Yak-41,B-32,4140.82
Yak-41,Mk.I-53,5552.16
Yak-41,Max-1,6068.75
Yak-41,100-85,6430.37
X-43 Hyperplane,LR-27,5158.02
X-43 Hyperplane,Mk.I-23,6861.87
X-43 Hyperplane,Max-25,3403.19
X-43 Hyperplane,Max-80,1208.76
B-1A,ER-7,1286.41
B-1A,100-9,4708.7
B-1A,LR-32,1785.24
B-1A,Neo-68,4491.69
F-5 Tiger II,Neo-96,2991.39
F-5 Tiger II,ER-3,3193.07
F-5 Tiger II,ER-83,4713.51
F-5 Tiger II,100-30,6508.23
F-9F Panther,B-48,2578.29
F-9F Panther,200-23,6364.18
F-9F Panther,100-77,1180.81
F-9F Panther,ER-82,1796.82
B-58 Hustler,100-27,2893.01
B-58 Hustler,B-22,1407.24
B-58 Hustler,B-78,3164.12
B-58 Hustler,Mk.I-57,736.08
Tupolev Tu-95 Bear,100-95,1924.07
Tupolev Tu-95 Bear,B-56,7060.12
Tupolev Tu-95 Bear,200-48,5741.51
Tupolev Tu-95 Bear,100-53,4844.46
Mykola Sutyagin's MiG-29,LR-32,3929.79
Mykola Sutyagin's MiG-29,B-44,5787.19
Mykola Sutyagin's MiG-29,Mk.I-71,2184.07
Mykola Sutyagin's MiG-29,100-14,3760.57
Boeing YC-14,Mk.I-78,4912.21
Boeing YC-14,Mk.I-71,3245.79
Boeing YC-14,100-76,535.1
Boeing YC-14,200-77,6448.12
Lockheed Martin SR-72,A-86,4591.18
Lockheed Martin SR-72,ER-88,1851.51
Lockheed Martin SR-72,100-95,3628.66
Lockheed Martin SR-72,B-30,3751.44
SpaceX Starship,A-70,2908.07
SpaceX Starship,Mk.I-86,2480.71
SpaceX Starship,A-12,4262.0
SpaceX Starship,Neo-97,1159.35
Blue Origin New Shepard,200-64,1863.87
Blue Origin New Shepard,100-9,4910.21
Blue Origin New Shepard,100-37,3877.36
Blue Origin New Shepard,ER-99,4508.16
Piaggio P-180 Avanti II,Max-10,948.23
Piaggio P-180 Avanti II,A-61,797.31
Piaggio P-180 Avanti II,A-43,1026.4
Piaggio P-180 Avanti II,B-16,1638.6
Tempest Future Fighter,Neo-47,4518.98
Tempest Future Fighter,Max-51,6475.08
Tempest Future Fighter,ER-28,6743.94
Tempest Future Fighter,Mk.I-98,6288.84
Aerion AS2,LR-67,1655.78
Aerion AS2,200-96,7314.49
Aerion AS2,Mk.I-4,5489.54
Aerion AS2,ER-28,4248.82
Boeing 747-8 Intercontinental,Max-51,7158.02
Boeing 747-8 Intercontinental,Mk.I-2,3997.11
Boeing 747-8 Intercontinental,Max-10,5653.56
Boeing 747-8 Intercontinental,100-56,6286.71
Cessna 208 Caravan,Neo-89,2545.91
Cessna 208 Caravan,200-35,7927.13
Cessna 208 Caravan,A-59,7949.31
Cessna 208 Caravan,Neo-11,5755.05
Bell V-280 Valor,Mk.I-78,5449.76
Bell V-280 Valor,Mk.I-96,4234.58
Bell V-280 Valor,100-27,5444.03
Bell V-280 Valor,A-47,4575.95
AeroVista 2000,Mk.I-38,7888.28
AeroVista 2000,Neo-30,5191.42
AeroVista 2000,100-91,3389.46
AeroVista 2000,ER-58,7792.89
SkyRider X5,ER-22,7246.92
SkyRider X5,A-27,1438.03
SkyRider X5,B-35,5241.77
SkyRider X5,A-19,1044.95
Nimbus 7,Max-33,3752.81
Nimbus 7,ER-64,953.35
Nimbus 7,ER-96,4739.22
Nimbus 7,200-90,3253.66
Falcon 9X,B-11,2462.56
Falcon 9X,200-30,7720.87
Falcon 9X,Mk.I-1,1581.23
Falcon 9X,Max-92,5585.54
Aurora 5000,ER-60,1756.26
Aurora 5000,Neo-52,6768.65
Aurora 5000,Mk.I-24,6679.4
Aurora 5000,Max-51,3050.73
Zenith Jetstream,200-33,1265.56
Zenith Jetstream,200-62,4955.46
Zenith Jetstream,B-42,5371.58
Zenith Jetstream,B-6,3994.2
Eclipse 300,Max-88,1857.12
Eclipse 300,100-98,4991.2
Eclipse 300,200-76,886.08
Eclipse 300,Max-78,3045.13
Vanguard 8,B-32,1902.74
Vanguard 8,100-10,3825.23
Vanguard 8,100-92,4618.04
Vanguard 8,100-15,4501.68
Skyward 12,A-30,1213.83
Skyward 12,Max-72,2108.2
Skyward 12,LR-45,938.72
Skyward 12,100-67,4993.05
Vortex 2,Mk.I-98,7654.71
Vortex 2,Mk.I-28,7994.07
Vortex 2,200-76,3841.24
Vortex 2,Max-21,1628.09
Axiom 4,100-95,2278.07
Axiom 4,Neo-85,1189.27
Axiom 4,ER-62,4059.02
Axiom 4,Mk.I-3,4582.73
Helios 20,200-39,2255.95
Helios 20,100-62,5290.08
Helios 20,ER-80,4580.0
Helios 20,B-68,2451.73
Nebula 1,100-39,1261.76
Nebula 1,Max-32,2523.62
Nebula 1,100-56,2049.68
Nebula 1,Mk.I-26,6933.22
StratoFighter,Max-43,3837.66
StratoFighter,B-77,7314.24
StratoFighter,Mk.I-5,6387.27
StratoFighter,LR-92,3696.77
Cobalt 3000,100-86,4534.01
Cobalt 3000,Neo-23,6656.83
Cobalt 3000,B-56,5423.34
Cobalt 3000,200-12,1130.03
Omega 9,A-28,869.73
Omega 9,A-4,4492.52
Omega 9,ER-88,4826.0
Omega 9,200-28,6730.19
Pinnacle X,B-3,1523.9
Pinnacle X,100-56,1016.18
Pinnacle X,Neo-46,6705.34
Pinnacle X,B-77,6803.46
Stratos 7,100-36,2322.03
Stratos 7,A-81,5679.72
Stratos 7,ER-82,7093.89
Stratos 7,100-79,4716.45
Astra 6,Mk.I-80,5770.47
Astra 6,Max-44,4332.33
Astra 6,100-74,875.74
Astra 6,ER-43,2945.44
Falcon Pro 4,100-31,7774.58
Falcon Pro 4,200-62,3820.28
Falcon Pro 4,100-88,1429.11
Falcon Pro 4,LR-27,1558.38
Gryphon 15,100-73,3833.06
Gryphon 15,Max-95,4513.39
Gryphon 15,Max-78,976.62
Gryphon 15,200-86,3725.31
Maverick 3,LR-69,2896.54
Maverick 3,Mk.I-7,1209.84
Maverick 3,Max-37,4913.79
Maverick 3,B-5,6008.54
Raptor 8,Max-2,1332.16
Raptor 8,ER-89,6017.46
Raptor 8,Neo-52,7905.4
Raptor 8,100-33,2256.65
Thunderbolt 12,Neo-91,3312.65
Thunderbolt 12,200-22,6594.21
Thunderbolt 12,LR-33,2197.23
Thunderbolt 12,200-24,6396.36
Valkyrie 5,Mk.I-98,4418.34
Valkyrie 5,Max-67,1354.14
Valkyrie 5,Max-2,6199.88
Valkyrie 5,B-26,7084.26
Spectre 9,A-95,4662.86
Spectre 9,Max-2,6648.73
Spectre 9,A-15,4251.71
Spectre 9,100-33,6289.06
Nighthawk 2,ER-52,2627.07
Nighthawk 2,200-41,5817.09
Nighthawk 2,Neo-30,2968.41
Nighthawk 2,A-96,5918.13
Coyote 7,Max-43,6857.61
Coyote 7,LR-17,7392.02
Coyote 7,Neo-16,4796.45
Coyote 7,LR-57,3931.03
Eagle Eye 3,ER-62,526.19
Eagle Eye 3,LR-97,5516.89
Eagle Eye 3,200-19,3675.37
Eagle Eye 3,100-62,2068.56
Phoenix 11,B-43,7010.62
Phoenix 11,B-26,7779.71
Phoenix 11,100-21,7501.65
Phoenix 11,100-98,3436.58
Griffin Mk2,200-70,3418.82
Griffin Mk2,Neo-91,4283.68
Griffin Mk2,200-19,1450.77
Griffin Mk2,200-91,7772.39
Hawkwing 9,A-27,6425.02
Hawkwing 9,ER-54,4700.34
Hawkwing 9,Max-42,4231.58
Hawkwing 9,100-35,3865.83
Stallion 4,100-67,7269.28
Stallion 4,LR-82,1142.53
Stallion 4,Max-11,931.75
Falconbridge 6,Neo-13,1267.06
Falconbridge 6,200-91,7938.88
Falconbridge 6,Max-94,7855.5
Falconbridge 6,LR-11,1441.32
Bardic 2,200-66,3198.96
Bardic 2,Neo-10,2251.42
Bardic 2,ER-44,516.18
Bardic 2,LR-35,1759.57
Astraeus 5,200-69,7711.08
Astraeus 5,ER-67,6920.65
Astraeus 5,200-35,2619.62
Astraeus 5,A-36,3061.5
Lumen 8,ER-40,2221.23
Lumen 8,Neo-79,4852.19
Lumen 8,B-81,3711.54
Lumen 8,Max-5,6880.39
Zenith 14,Max-32,712.79
Zenith 14,100-65,2579.78
Zenith 14,Max-42,7048.8
Zenith 14,ER-13,1173.08
Helix 3,LR-27,7970.36
Helix 3,100-35,7905.23
Helix 3,Mk.I-55,6268.68
Helix 3,200-5,4416.03
Quasar 6,100-73,3301.85
Quasar 6,100-5,3885.27
Quasar 6,B-26,2036.59
Quasar 6,ER-35,2380.33
Nova 9,Neo-97,3386.49
Nova 9,Neo-10,3802.5
Nova 9,LR-83,795.69
Nova 9,Max-4,6599.62
Celestia 2,B-94,2914.24
Celestia 2,LR-98,7014.45
Celestia 2,200-59,5478.23
Celestia 2,Neo-13,5112.15
Aether 7,Mk.I-74,5503.65
Aether 7,Mk.I-45,545.14
Aether 7,LR-91,1531.58
Aether 7,ER-40,1757.81
Vortexus 1,B-13,5703.86
Vortexus 1,LR-73,1095.62
Vortexus 1,200-12,1605.37
Vortexus 1,Mk.I-98,1980.39
Nimrod 8,Neo-38,5238.97
Nimrod 8,Max-10,6319.19
Nimrod 8,100-96,3211.69
Nimrod 8,B-60,1572.2
Sirocco 3,A-28,3848.36
Sirocco 3,A-63,2100.9
Sirocco 3,100-20,2968.48
Sirocco 3,Max-61,4851.32
Tempest 10,100-66,7466.01
Tempest 10,Max-5,3538.1
Tempest 10,ER-64,1286.23
Tempest 10,Max-92,2100.61
Raven 5,200-84,4778.14
Raven 5,LR-60,1249.97
Raven 5,Max-65,951.24
Raven 5,100-80,5986.0
Peregrine 6,LR-32,6856.2
Peregrine 6,LR-67,3113.07
Peregrine 6,Neo-48,2693.97
Peregrine 6,LR-58,2948.99
Azimuth 9,200-33,4386.57
Azimuth 9,ER-28,3047.29
Azimuth 9,200-62,7221.91
Azimuth 9,B-70,2104.78
Sovereign 11,B-9,4866.94
Sovereign 11,ER-40,7528.29
Sovereign 11,200-2,6113.67
Sovereign 11,ER-22,4394.62
Talon 4,A-28,675.06
Talon 4,Mk.I-99,6496.29
Talon 4,ER-40,600.55
Talon 4,B-26,513.31
Morpheus 7,200-39,4851.34
Morpheus 7,100-53,505.71
Morpheus 7,ER-60,7070.11
Morpheus 7,LR-99,4729.41
Heliosphere 3,Neo-35,5710.63
Heliosphere 3,ER-16,5868.53
Heliosphere 3,100-21,695.51
Heliosphere 3,Neo-49,3150.76
Starlight 6,200-68,3349.06
Starlight 6,LR-91,6016.21
Starlight 6,100-28,6838.96
Starlight 6,ER-28,4654.09
Aurorae 5,Neo-53,4243.44
Aurorae 5,Neo-78,3389.74
Aurorae 5,Mk.I-19,3048.74
Aurorae 5,Mk.I-56,941.01
Nimbus Prime,200-39,2514.29
Nimbus Prime,B-62,5707.26
Nimbus Prime,200-10,2195.35
Nimbus Prime,B-9,7035.76
Zenithal 2,A-11,5371.58
Zenithal 2,200-27,6864.87
Zenithal 2,Mk.I-24,5719.71
Zenithal 2,Mk.I-62,1340.56
Eclipse II,ER-88,4121.2
Eclipse II,ER-16,2371.08
Eclipse II,ER-60,2410.26
Eclipse II,Max-13,4809.27
Vanguard Star,ER-37,658.99
Vanguard Star,Neo-11,7034.94
Vanguard Star,LR-91,1586.77
Vanguard Star,A-41,5849.03
Skyward Nexus,ER-13,3969.0
Skyward Nexus,A-36,5290.69
Skyward Nexus,B-48,4558.27
Skyward Nexus,100-39,7906.05
Axiom Relic,ER-44,2587.64
Axiom Relic,A-50,6652.17
Axiom Relic,Max-87,1177.98
Axiom Relic,100-73,1260.31
Helios Guard,A-35,1910.46
Helios Guard,A-19,3238.67
Helios Guard,200-38,1607.78
Nebula One,B-80,5081.03
Nebula One,200-75,6804.45
Nebula One,A-86,3429.79
Nebula One,A-59,7878.25
Stratos II,100-88,6159.58
Stratos II,LR-69,4608.88
Stratos II,Max-87,3239.96
Stratos II,ER-48,5536.09
Astra Prime,A-48,2590.57
Astra Prime,ER-5,5047.76
Astra Prime,Neo-63,5350.14
Astra Prime,Mk.I-31,4789.68
Falcon Echo,ER-7,1731.59
Falcon Echo,A-6,1458.38
Falcon Echo,200-38,1667.81
Falcon Echo,Mk.I-8,2545.99
Thunder Rocket,B-67,3116.4
Thunder Rocket,LR-79,1811.04
Thunder Rocket,100-29,7067.31
Thunder Rocket,ER-72,1189.89
Valkyrie Mk3,ER-37,3717.61
Valkyrie Mk3,Mk.I-9,1090.64
Valkyrie Mk3,LR-3,5677.92
Valkyrie Mk3,100-73,1203.31
Specter Classic,Mk.I-9,665.21
Specter Classic,Neo-38,512.18
Specter Classic,ER-28,1866.12
Specter Classic,LR-60,5184.19
Nighthawk Delta,Max-80,2773.43
Nighthawk Delta,Neo-57,6145.96
Nighthawk Delta,Max-33,601.13
Nighthawk Delta,200-69,6213.06
Coyote Blaze,LR-84,3472.73
Coyote Blaze,B-19,5039.3
Coyote Blaze,A-12,3304.99
Coyote Blaze,Mk.I-84,1303.27
Eagle Talon,LR-17,2862.53
Eagle Talon,ER-7,1270.15
Eagle Talon,100-56,4401.16
Eagle Talon,200-48,2459.05
Phoenix Rising,ER-31,5121.6
Phoenix Rising,Max-31,1662.0
Phoenix Rising,ER-95,1747.09
Phoenix Rising,ER-86,2544.65
Griffin Elite,ER-43,4335.72
Griffin Elite,Neo-38,3886.34
Griffin Elite,200-71,3309.78
Griffin Elite,ER-64,2310.65
Hawkwing Summit,LR-32,2393.89
Hawkwing Summit,100-77,3711.32
Hawkwing Summit,ER-17,1810.81
Hawkwing Summit,Neo-78,4633.41
Stallion Fusion,100-79,712.48
Stallion Fusion,Mk.I-7,1718.93
Stallion Fusion,200-83,2367.07
Bardic Beacon,200-8,3530.59
Bardic Beacon,Max-29,841.74
Bardic Beacon,Neo-56,3858.58
Bardic Beacon,Mk.I-38,4444.91
Astra Frontier,200-53,6816.04
Astra Frontier,B-40,7951.03
Astra Frontier,LR-92,909.34
Astra Frontier,Mk.I-94,3470.75
Aurora Wave,B-4,3627.96
Aurora Wave,B-67,4667.05
Aurora Wave,Mk.I-98,6335.58
Aurora Wave,Max-14,994.27
Nimbus Crown,Mk.I-86,6135.08
Nimbus Crown,100-5,1203.62
Nimbus Crown,Max-56,3986.87
Nimbus Crown,200-47,2286.54
Zenith Shield,200-23,6166.81
Zenith Shield,100-72,6937.79
Zenith Shield,LR-93,2638.73
Zenith Shield,B-4,6276.01
Eclipse Edge,Neo-57,7973.1
Eclipse Edge,B-26,7063.51
Eclipse Edge,Neo-11,2407.14
Eclipse Edge,100-22,5636.99
Vanguard Horizon,200-23,7024.01
Vanguard Horizon,200-99,6506.69
Vanguard Horizon,100-98,2122.87
Vanguard Horizon,LR-67,3386.27
Skyward Beacon,A-47,4591.54
Skyward Beacon,B-70,1859.37
Skyward Beacon,ER-40,4404.05
