CODE,MFR,MODEL,TYPE,HORSEPOWER,THRUST
1501,AIRESEARCH,GTC-85-135,2,242,0
1502,AIRESEARCH,331 SER 605HP,2,605,0
1503,AIRESEARCH,TPE331-25A,2,575,0
1504,AIRESEARCH,TPE331-25AA,2,575,0
1505,AIRESEARCH,TSE331 SERIES,3,800,0
1506,AIRESEARCH,331SER 705HP,2,705,0
1507,AIRESEARCH,TPE331-25AB,2,575,0
1508,AIRESEARCH,331SER 755HP,5,755,0
1509,AIRESEARCH,TPE331-25B,2,575,0
1510,AIRESEARCH,331SER 904HP,2,904,0
1511,AIRESEARCH,TPE331-25C,2,575,0
1512,AIRESEARCH,331SER 1008HP,2,1008,0
1513,AIRESEARCH,TPE331-25D,2,575,0
1514,AIRESEARCH,TPE331 SERIES,2,904,0
1515,AIRESEARCH,TPE331-5&6SER,2,776,0
1516,AIRESEARCH,TPE331-25DA,2,575,0
1517,AIRESEARCH,TPE331 SERIES,2,600,0
1518,AIRESEARCH,TFE731 SER,4,0,3500
1519,AIRESEARCH,TPE331-25DB,2,575,0
1520,AIRESEARCH,TSE331 SERIES,3,800,0
1521,AIRESEARCH,TPE331-6-251M,2,750,0
1522,AIRESEARCH,TPE331-5-252M,2,750,0
1523,AIRESEARCH,TFE-732-2-1C,4,0,3230
1524,AIRESEARCH,ATF3-6A-4C,4,0,5200
1525,AIRESEARCH,TPE331-25E,2,575,0
1526,AIRESEARCH,TPE331-25F,2,575,0
1527,AIRESEARCH,TPE331-25FA,2,575,0
1528,AIRESEARCH,TPE331-29A,2,575,0
1529,AIRESEARCH,TPE331-43,2,575,0
1530,AIRESEARCH,TPE331-8 SER,2,715,0
1531,AIRESEARCH,TPE331-43-A,2,575,0
1532,AIRESEARCH,TPE331-43-B,2,575,0
1533,AIRESEARCH,TPE331-45,2,575,0
1534,AIRESEARCH,TPE331-47,2,575,0
1535,AIRESEARCH,TPE331-47-A,2,575,0
1536,AIRESEARCH,TPE331-47-B,2,575,0
1537,AIRESEARCH,TPE331-51,2,575,0
1538,AIRESEARCH,TPE331-55,2,575,0
1539,AIRESEARCH,TPE331-55-A,2,575,0
1540,AIRESEARCH,TPE331-55-B,2,575,0
1541,AIRESEARCH,TPE331-57,2,575,0
1542,AIRESEARCH,TPE331-57-B,2,575,0
1543,AIRESEARCH,TPE331-61,2,575,0
1544,AIRESEARCH,TPE331-61-A,2,575,0
1545,AIRESEARCH,TPE331-1,2,665,0
1546,AIRESEARCH,TPE331-1U,2,665,0
1547,AIRESEARCH,TPE-331-5254K,2,718,0
1551,AIRESEARCH,TPE331-3,2,840,0
1552,AIRESEARCH,TPE331-3U,2,840,0
1553,AIRESEARCH,TPE331-3UW,2,840,0
1554,AIRESEARCH,TPE331-3W,2,840,0
1555,AIRESEARCH,TPE331-10UA,2,840,0
1556,AIRESEARCH,TPE331-5,2,776,0
1557,AIRESEARCH,TPE331-5A,2,840,0
1558,AIRESEARCH,TPE331-5AB,2,840,0
1559,AIRESEARCH,TPE331-5B,2,776,0
1560,AIRESEARCH,TPE331-5U,2,776,0
1561,AIRESEARCH,TPE331-6,2,750,0
1562,AIRESEARCH,TPE331-6A,2,750,0
1563,AIRESEARCH,TPE331-6U,2,750,0
1564,AIRESEARCH,TPE331-8,2,715,0
1565,AIRESEARCH,TPE331-8A,2,715,0
1566,AIRESEARCH,TPE331-9,2,865,0
1567,AIRESEARCH,TPE331-9U,2,865,0
1568,AIRESEARCH,TPE331-10,2,940,0
1569,AIRESEARCH,TPE331-10A,2,940,0
1570,AIRESEARCH,TPE331-10AV,2,750,0
1571,AIRESEARCH,TPE331-10B,2,940,0
1572,AIRESEARCH,TPE331-10G,2,940,0
1573,AIRESEARCH,TPE331-10GP,2,840,0
1574,AIRESEARCH,TPE331-10GR,2,940,0
1575,AIRESEARCH,TPE331-10GT,2,840,0
1576,AIRESEARCH,TPE331-10J,2,1000,0
1577,AIRESEARCH,TPE331-10N,2,715,0
1578,AIRESEARCH,TPE331-10P,2,776,0
1579,AIRESEARCH,TPE331-10R,2,940,0
1580,AIRESEARCH,TPE331-10T,2,776,0
1581,AIRESEARCH,TPE331-10U,2,940,0
1582,AIRESEARCH,TPE331-10UF,2,940,0
1583,AIRESEARCH,TPE-331-10UG,2,940,0
1584,AIRESEARCH,TPE331-10UGR,2,940,0
1585,AIRESEARCH,TPE331-10UJ,2,1000,0
1586,AIRESEARCH,TPE331-10UK,2,1000,0
1587,AIRESEARCH,TPE331-10UR,2,940,0
1588,AIRESEARCH,TPE331-11U,2,1000,0
1589,AIRESEARCH,TPE331-11UA,2,1000,0
1590,AIRESEARCH,TPE331-12,2,940,0
1591,AIRESEARCH,TPE331-12B,2,1100,0
1592,AIRESEARCH,TPE331-12JR,2,1000,0
1593,AIRESEARCH,TPE331-12UA,2,1100,0
1594,AIRESEARCH,TPE331-12UAR,2,1100,0
1595,AIRESEARCH,TPE331-12UER,2,1100,0
1596,AIRESEARCH,TPE331-12UHR,2,1100,0
1597,AIRESEARCH,TSE331-3U,3,800,0
1598,AIRESEARCH,TSE36-1,3,240,0
1599,AIRESEARCH,TFE731-3R-1H,5,0,3880
1647,ALLIANCE,TPE331-1UA,2,665,0
1648,ALLIANCE,TPE331-2,2,715,0
1649,AIRESEARCH,TPE331-2U,2,715,0
1650,AIRESEARCH,TPE331-2UA,2,715,0
1651,ALISPORT,A302EFI,1,28,0
1652,HONEYWELL,TPE331-2-201A,2,715,0
2001,ALLIANCE,HESS WARRIOR,1,115,0
2500,ALLIEDSIGN,CFE-738 SER,5,2800,0
2501,ALLIEDSIGN,T5317A-1,3,1500,0
2502,ALLIEDSIGN,TFE 731-2B,4,0,3500
2503,ALLIEDSIGN,LF507-1F,4,4600,0
2504,ALLIEDSIGN,TFE731-60,5,0,5000
2505,ALLIEDSIGN,TPE331-12UHR,2,1100,0
2506,ALLIEDSIGN,TFE731-40-1C,5,0,4000
2507,ALLIEDSIGN,TPE 331 SER,5,904,0
2508,ALLIEDSIGN,TFE731-5BR,5,0,4750
2509,ALLIEDSIGN,TFE731 SERIES,5,0,3500
2510,ALLIEDSIGN,T5309A,3,1100,0
2511,ALLIEDSIGN,T5309B,3,1100,0
2512,ALLIEDSIGN,T5309C,3,1100,0
2513,ALLIEDSIGN,T5311A,3,1100,0
2514,ALLIEDSIGN,T5311B,3,1100,0
2515,ALLIEDSIGN,TFE731-20,5,0,3500
2516,ALLIEDSIGN,TFE731-20AR,5,0,3650
2517,ALLIEDSIGN,TFE731-20BR,5,0,3650
2518,ALLIEDSIGN,TFE731-20R,5,0,3650
2519,ALLIEDSIGN,TFE731-40,5,0,4250
2520,ALLIEDSIGN,TFE731-40R,5,0,4462
2521,ALLIEDSIGN,TFE731-40AR,5,0,4420
2522,ALLIEDSIGN,LTC1B-1,3,860,0
2523,ALLIEDSIGN,TPE331-25A,2,575,0
2524,ALLIEDSIGN,TPE331-25AA,2,575,0
2525,ALLIEDSIGN,TPE331-25AB,2,575,0
2526,ALLIEDSIGN,TPE331-25B,2,575,0
2527,ALLIEDSIGN,TPE331-25C,2,575,0
2528,ALLIEDSIGN,TPE331-25D,2,575,0
2529,ALLIEDSIGN,TPE331-25DA,2,575,0
2530,ALLIEDSIGN,TPE331-25DB,2,575,0
2531,ALLIEDSIGN,TPE331-25E,2,575,0
2532,ALLIEDSIGN,TPE331-25FA,2,575,0
2533,ALLIEDSIGN,TPE331-25FA,2,575,0
2534,ALLIEDSIGN,TPE331-29A,2,575,0
2535,ALLIEDSIGN,TPE331-43,2,575,0
2536,ALLIEDSIGN,TPE331-43-A,2,575,0
2537,ALLIEDSIGN,TPE331-43-B,2,575,0
2538,ALLIEDSIGN,TPE331-45,2,575,0
2539,ALLIED SIG,TPE331-47,2,575,0
2540,ALLIEDSIGN,TPE331-47-A,2,575,0
2541,ALLIEDSIGN,TPE331-47-B,2,575,0
2542,ALLIEDSIGN,TPE331-51,2,575,0
2543,ALLIEDSIGN,TPE331-55,2,575,0
2544,ALLIEDSIGN,TPE331-55-A,2,575,0
2545,ALLIEDSIGN,TPE331-55-B,2,575,0
2546,ALLIEDSIGN,TPE331-57,2,575,0
2547,ALLIEDSIGN,TPE331-57-B,2,575,0
2548,ALLIEDSIGN,TPE331-61,2,575,0
2549,ALLIEDSIGN,TPE331-61-A,2,575,0
2550,ALLIEDSIGN,TPE331-1,2,665,0
2551,ALLIEDSIGN,TPE331-1U,2,665,0
2552,ALLIEDSIGN,TPE331-1UA,2,665,0
2553,ALLIEDSIGN,TPE331-2,2,715,0
2554,ALLIEDSIGN,TPE331-2U,2,715,0
2555,ALLIEDSIGN,TPE331-2UA,2,715,0
2556,ALLIEDSIGN,T5508D,3,2250,0
2557,ALLIEDSIGN,AL5512,3,4075,0
2558,ALLIEDSIGN,TPE331-3,2,840,0
2559,ALLIEDSIGN,TPE331-3U,2,840,0
2560,ALLIEDSIGN,TPE331-3UW,2,840,0
2561,ALLIEDSIGN,TPE331-3W,2,840,0
2562,ALLIEDSIGN,TPE331-10UA,2,840,0
2563,ALLIEDSIGN,TPE331-5,2,776,0
2565,ALLIEDSIGN,TPE331-5AB,2,840,0
2566,ALLIEDSIGN,TPE331-5B,2,776,0
2567,ALLIEDSIGN,TPE331-5U,2,776,0
2568,ALLIEDSIGN,TPE331-6,2,750,0
2569,ALLIEDSIGN,TPE331-6A,2,750,0
2570,ALLIEDSIGN,TPE331-6U,2,750,0
2571,ALLIEDSIGN,TPE331-8,2,715,0
2572,ALLIEDSIGN,TPE331-8A,2,715,0
2573,ALLIEDSIGN,TPE331-9,2,865,0
2574,ALLIEDSIGN,TPE331-9U,2,865,0
2575,ALLIEDSIGN,TPE331-10,2,940,0
2576,ALLIEDSIGN,TPE331-10A,2,940,0
2577,ALLIEDSIGN,TPE331-10AV,2,750,0
2578,ALLIEDSIGN,TPE331-10B,2,940,0
2579,ALLIEDSIGN,TPE331-10G,2,940,0
2580,ALLIEDSIGN,TPE331-10GP,2,840,0
2581,ALLIEDSIGN,TPE331-10GR,2,940,0
2582,ALLIEDSIGN,TPE331-10GT,2,840,0
2583,ALLIEDSIGN,TPE331-10J,2,1000,0
2584,ALLIEDSIGN,TPE331-10N,2,715,0
2585,ALLIEDSIGN,TPE331-10P,2,776,0
2586,ALLIEDSIGN,TPE331-10R,2,940,0
2587,ALLIEDSIGN,TPE331-10T,2,776,0
2588,ALLIEDSIGN,TPE331-10U,2,940,0
2589,ALLIEDSIGN,TPE331-10UF,2,940,0
2590,ALLIEDSIGN,TPE-331-10UG,2,940,0
2591,ALLIEDSIGN,TPE331-10UGR,2,940,0
2592,ALLIEDSIGN,TPE331-10UJ,2,1000,0
2593,ALLIEDSIGN,TPE331-10UK,2,1000,0
2594,ALLIEDSIGN,TPE331-10UR,2,940,0
2595,ALLIEDSIGN,TPE331-11U,2,1000,0
2596,ALLIEDSIGN,TPE331-11UA,2,1000,0
2597,ALLIEDSIGN,TPE331-12,2,940,0
2598,ALLIEDSIGN,TPE331-12B,2,1100,0
2599,ALLIEDSIGN,TPE331-12JR,2,1000,0
2600,ALLIEDSIGN,TPE331-12UA,2,1100,0
2601,ALLIEDSIGN,TPE331-12UAR,2,1100,0
2602,ALLIEDSIGN,TPE331-12UER,2,1100,0
2603,ALLIEDSIGN,TSE331-3U,3,800,0
2604,ALLIEDSIGN,T5307A,2,1100,0
2605,ALLIEDSIGN,ATF3-6,5,5440,0
2606,ALLIEDSIGN,ATF3-6A,5,5440,0
2607,ALLIEDSIGN,TFE731-2,5,0,3500
2608,ALLIEDSIGN,TFE731-2A,5,0,3600
2609,ALLIEDSIGN,TFE731-2BR,5,0,3650
2610,ALLIEDSIGN,TFE731-2C,5,0,3500
2611,ALLIEDSIGN,TFE731-3,5,0,3700
2612,ALLIEDSIGN,TFE731-3R,5,0,3880
2613,ALLIEDSIGN,TFE731-3A,5,0,3700
2614,ALLIEDSIGN,TFE731-3AR,5,0,3880
2615,ALLIEDSIGN,TFE731-3B,5,0,3650
2616,ALLIEDSIGN,TFE731-3BR,5,0,3850
2617,ALLIEDSIGN,TFE731-3C,5,0,3700
2618,ALLIEDSIGN,TFE731-3CR,5,0,3880
2619,ALLIEDSIGN,TFE731-3D,5,0,3700
2620,ALLIEDSIGN,TFE731-3DR,5,0,3880
2621,ALLIEDSIGN,TFE731-4,5,0,4080
2622,ALLIEDSIGN,TFE731-4R,5,0,4080
2623,ALLIEDSIGN,TFE731-5,5,0,4304
2624,ALLIEDSIGN,TFE731-5A,5,0,4500
2625,ALLIEDSIGN,TFE731-5AR,5,0,4500
2626,ALLIEDSIGN,TFE731-5B,5,0,4750
2627,ALLIEDSIGN,TFE731-5R,5,0,4500
2628,ALLIEDSIGN,LTP101-600,2,599,0
2629,ALLIEDSIGN,LTP101-600A,2,599,0
2630,ALLIEDSIGN,LTP101-600A1A,2,599,0
2631,ALLIEDSIGN,LTP101-700A1A,2,671,0
2632,ALLIEDSIGN,T5313B,3,1400,0
2633,ALLIEDSIGN,T5317A,3,1500,0
2634,ALLIEDSIGN,T5317B,3,1500,0
2635,ALLIEDSIGN,TPE331-14A,2,1250,0
2636,ALLIEDSIGN,TPE331-14B,2,1250,0
2637,ALLIEDSIGN,TPE331-14F,2,1250,0
2638,ALLIEDSIGN,TPE331-14GR,2,1650,0
2639,ALLIEDSIGN,TPE331-14HR,2,1650,0
2640,ALLIEDSIGN,TPE331-15AW,2,1645,0
2641,ALLIEDSIGN,ALF502L,5,0,7500
2642,ALLIEDSIGN,ALF502L-2,5,0,7500
2643,ALLIEDSIGN,ALF502L-2A,5,0,7500
2644,ALLIEDSIGN,ALF502L-2C,5,0,7500
2645,ALLIEDSIGN,ALF502L-3,5,0,7500
2646,ALLIEDSIGN,ALF502R-3,5,0,6700
2647,ALLIEDSIGN,ALF502R-3A,5,0,6970
2648,ALLIEDSIGN,ALF502R-4,5,0,6970
2649,ALLIEDSIGN,ALF502R-5,5,0,6970
2650,ALLIEDSIGN,ALF502R-6,5,0,7500
2651,ALLIEDSIGN,ALF507-1H,5,0,7000
2652,ALLIEDSIGN,ALF507-1F,5,0,7000
2655,ALLIEDSIGN,TFE731-5BR-C1,5,0,4750
2656,ALLIEDSIGN,LTS101-750B-1,3,550,0
3000,ALLISON,501 SER,2,4680,0
3001,ALLISON,V1710 SERIES,3,1500,0
3002,ALLISON,250 SER 250HP,3,250,0
3003,ALLISON,250 SER 250HP,2,250,0
3004,ALLISON,501-D13 SER,2,3750,0
3005,ALLISON,501-D22,2,4050,0
3006,ALLISON,501-D22A,2,4680,0
3007,ALLISON,J33-A SERIES,4,635,0
3008,ALLISON,J35-A SERIES,4,750,0
3009,ALLISON,T-56-A-7 SER,2,4050,0
3011,ALLISON,250 SER 317HP,3,317,0
3012,ALLISON,250 SER 400HP,2,400,0
3013,ALLISON,250 SER 400HP,3,400,0
3014,ALLISON,250 SERIES,2,300,0
3015,ALLISON,250-C30 SER,3,650,0
3017,ALLISON,250-B17 SER,2,400,0
3018,ALLISON,250-B17 SER,3,450,0
3019,ALLISON,250 SER,1,420,0
3020,ALLISON,250-C20 SER,2,420,0
3021,ALLISON,250-C28 SER,2,500,0
3022,ALLISON,250-C28 SER,3,500,0
3023,ALLISON,T56-A-15 SER,2,4910,0
3024,ALLISON,A225-C10A,3,350,0
3025,ALLISON,T56A11 SER,2,4900,0
3026,ALLISON,T-56A-9,2,3750,0
3027,ALLISON,AE2100SER,2,4125,0
3028,ALLISON,AE3007C SER,5,0,6442
3029,ALLISON,250-C47,3,600,0
3030,ALLISON,AE 3007A,5,0,7580
3031,ALLISON,T63 SERIES,3,250,0
3032,ALLISON,T-56-A-10W,2,4500,0
3033,ALLISON,T56-A-16,2,4910,0
3035,ALLISON,250-C10D,3,317,0
3036,ALLISON,AE 3007A1/3,5,0,7580
3037,ALLISON,T56-10 SER,2,4000,0
3040,ALLISON,V1710 SER,1,1500,0
3041,ALLISON,AE 1107C,3,4637,0
3042,ALLISON,AE 2100A,2,4152,0
3043,ALLISON,AE 2100C,2,3271,0
3044,ALLISON,AE 2100D2,2,4637,0
3045,ALLISON,AE 2100D3,2,4637,0
3046,ALLISON,AE 2100J,2,4591,0
3047,ALLISON,AE 3007C,5,0,6442
3048,ALLISON,AE 3007A1/1,5,0,7580
3049,ALLISON,AE 3007A1/2,5,0,7580
3050,ALLISON,AE 3007A1,5,0,7580
3051,ALLISON,AE 3007A1P,5,0,8338
3052,ALLISON,AE 3007A3,5,0,7201
3053,ALLISON,AE 3007C1,5,0,6764
3054,ALLISON,AE 3007A1E,5,0,8917
3055,ALLISON,501-D13,2,3750,0
3056,ALLISON,501-D13A,2,3750,0
3057,ALLISON,501-D13D,2,3750,0
3058,ALLISON,501-D13E,2,3750,0
3059,ALLISON,501-D13H,2,3750,0
3060,ALLISON,501-D22C,2,4680,0
3061,ALLISON,502-D22G,2,4815,0
3062,ALLISON,250-B15A,2,317,0
3063,ALLISON,250-B15E,2,317,0
3064,ALLISON,250-B15G,2,317,0
3065,ALLISON,250-B17,2,400,0
3066,ALLISON,250-B17B,2,400,0
3067,ALLISON,250-B17C,2,420,0
3068,ALLISON,250-B17D,2,420,0
3069,ALLISON,250-B17E,2,420,0
3070,ALLISON,250-B17F,2,450,0
3071,ALLISON,250-B17F/1,2,450,0
3072,ALLISON,250-B17F/2,2,450,0
3073,ALLISON,250-C10,3,250,0
3074,ALLISON,250-C10B,3,317,0
3075,ALLISON,250-C18,3,317,0
3076,ALLISON,250-C18A,3,317,0
3077,ALLISON,250-C19,3,317,0
3078,ALLISON,250-C18B,3,317,0
3079,ALLISON,250-C18C,3,317,0
3080,ALLISON,250-C20,3,400,0
3081,ALLISON,250-C20B,3,420,0
3082,ALLISON,250-C20C,3,420,0
3083,ALLISON,T63-A-720,3,420,0
3084,ALLISON,T63-A-5,3,250,0
3085,ALLISON,T63-A-5A,3,317,0
3086,ALLISON,T63-A-700,3,317,0
3087,ALLISON,250-C20F,3,420,0
3088,ALLISON,250-C20J,3,420,0
3089,ALLISON,250-C20S,3,420,0
3090,ALLISON,250-C20R,3,450,0
3091,ALLISON,250-C20R/1,3,450,0
3092,ALLISON,250-C20R/2,3,450,0
3093,ALLISON,250-C20R/4,3,450,0
3094,ALLISON,225-C10,3,350,0
3095,ALLISON,225-C10A,3,350,0
3096,ALLISON,250-C20W,3,420,0
3097,ALLISON,250-C30,3,650,0
3098,ALLISON,250-C30S,3,650,0
3099,ALLISON,250-C30P,3,650,0
3100,ALLISON,250-C30M,3,650,0
3101,ALLISON,250-C30R,3,650,0
3102,ALLISON,T703-AD-700,3,650,0
3103,ALLISON,250-C30G,3,650,0
3104,ALLISON,250-C30U,3,650,0
3105,ALLISON,250-C30G/2,3,650,0
3106,ALLISON,250-C30R/1,3,650,0
3107,ALLISON,T703-AD-700B,3,650,0
3108,ALLISON,250-C40B,3,715,0
3109,ALLISON,250-C47B,3,650,0
3110,ALLISON,250-C47M,3,650,0
3111,ALLISON,250-C30R/3,3,650,0
3112,ALLISON,250-C30R/3M,3,650,0
3113,ALLISON,250-C28,3,500,0
3114,ALLISON,250-C28B,3,500,0
3115,ALLISON,250-C28C,3,500,0
3116,ALLISON,501-D22G,2,4815,0
3120,ALLISON,T56-A-14,2,5300,0
3808,ALVIS,514/SER,1,560,0
3809,ALVIS,504/5A,1,545,0
3810,ALVIS,504/6A,1,545,0
3811,ALVIS,504/7A,1,545,0
3812,ALVIS,504/8,1,545,0
3813,ALVIS,503/5A,1,545,0
3814,ALVIS,503/6A,1,545,0
3815,ALVIS,503/7A,1,545,0
3816,ALVIS,503/8,1,545,0
3817,ALVIS,502/5A,1,545,0
3818,ALVIS,502/6A,1,545,0
3819,ALVIS,502/7A,1,545,0
3820,ALVIS,502/8,1,545,0
3821,ALVIS,514/5,1,560,0
3822,ALVIS,514/5A,1,560,0
3823,ALVIS,514/6,1,560,0
3824,ALVIS,514/6A,1,560,0
3825,ALVIS,514/8,1,560,0
3826,ALVIS,514/8A,1,560,0
3827,ALVIS,514/7,1,560,0
3828,ALVIS,514/7A,1,560,0
3829,ALVIS,531/8,1,650,0
3830,ALVIS,531/8B,1,635,0
4001,AMERICAN,S5-125,1,125,0
4501,AMES,TRS 18-046,4,0,198
4564,ROLL-ROYC,TAY 620-15,5,13850,0
4701,ANZANI,Y,1,35,0
4702,ANZANI,W-3,1,25,0
5302,ARDEM,4 C02,1,30,0
5403,ARGUS,AS10C-3,1,240,0
5404,ARGUS,AS10R,1,250,0
5405,ARGUS,AS410-A2,1,459,0
5406,ARGUS,AS10-P,1,250,0
5501,ARMST SIDD,GENET MARK 11,1,80,0
6001,ARROW,V8F,1,82,0
6100,ASZ,621R,1,967,0
6301,AUDI,TDI,8,245,0
6400,AUSTRO,E4 SERIES,1,168,0
6401,AUSTRO,IAE 50R-AA,11,56,0
6402,AUSTRO,E4-A,1,168,0
6403,AUSTRO,E4-C,1,168,0
6404,AUSTRO,AE330,8,171,0
6405,AUSTRO,E4P(SERIES),8,179,0
6406,AUSTRO,E4(11OR),11,160,0
6501,AVIA,M-137A,1,180,0
6502,AVIA,M337AK,1,210,0
6503,AVIA,M462-RF,1,315,0
7001,SZEKELY,SR-3-L,1,30,0
7003,SZEKELY,SR-3-45,1,45,0
9001,BARRETT,IO-360-X,1,180,0
9002,BARRETT,320 SERIES,1,150,0
9003,BARRETT,IO-390-X,1,210,0
9004,BARRETT,IO-540-X,1,260,0
9005,BARRETT,540 SERIES,1,260,0
9050,BOMBARDIER,ROTAX (ALL),1,0,0
9051,BOMBARDIER,ROTAX 912 F2,1,81,0
9052,BOMBARDIER,ROTAX 912 F3,1,81,0
9053,BOMBARDIER,ROTAX 912 F4,1,81,0
9054,BOMBARDIER,ROTAX 912 S2,1,99,0
9055,BOMBARDIER,ROTAX 912 S3,1,99,0
9056,BOMBARDIER,ROTAX 912 S4,1,99,0
9057,BOMBARDIER,ROTAX 914 F2,1,115,0
9058,BOMBARDIER,ROTAX 914 F3,1,115,0
9059,BOMBARDIER,ROTAX 914 F4,1,115,0
9490,BMW,R1200 SERIES,1,125,0
9493,BMW,801D,1,1677,0
9494,BMW ROLLS,BR700-710C411,5,0,15385
9495,BMW ROLLS,BR700-710A220,5,0,14750
9496,BMW ROLLS,BR700-710A110,5,0,14750
9497,BMW ROLLS,BR700-715C130,5,0,21430
9498,BMW ROLLS,BR700-715B130,5,0,20160
9499,BMW ROLLS,BR700-715A130,5,0,18710
9500,BMW ROLLS,BR 700 SERIES,5,0,14970
9501,BMS,EXPERIMENTAL,1,180,0
10002,BRIST AERO,HERCULES,1,1690,0
10004,BRIST AERO,ORPHEUS 637,4,500,0
10006,BRIST AERO,CNTURUSMK18,1,2480,0
10007,BRISTOL AE,PROTEUS 756,2,4060,0
10008,BRISTOL AE,PROTEUS 766,2,4310,0
10010,BRIST SID,GIPSY,1,85,0
10101,BREDA,SPA 6A,1,45,0
10185,BRISTOL SI,AVON 522,4,0,10500
10186,BRISTOL SI,AVON 524B,4,0,10250
10187,BRISTOL SI,AVON 525B,4,0,10250
10188,BRISTOL SI,AVON 526,4,0,10500
10189,BRISTOL SI,AVON 527,4,0,11400
10190,BRISTOL SI,AVON 531,4,0,12200
10191,BRISTOL SI,AVON 532R-B,4,0,12080
10192,BRISTOL SI,AVON 533R,4,0,12600
10193,BRISTOL SI,AVON 533R-11A,4,0,13000
10194,BRISTOL SI,H.1000 MK.510,3,875,0
10195,BRISTOL SI,H.1000 MK.511,3,895,0
10196,BRISTOL SI,H.1200 MK.610,3,1020,0
10197,BRISTOL SI,H.1200 MKS640,3,1050,0
10198,BRISTOL SI,H.1200 MKS641,3,1050,0
10199,BRISTOL SI,H.1200MKS640A,3,1050,0
10200,BRISTOL SI,H.1200MKS641A,3,1050,0
10201,BRIST SID,MARK 521,4,312,0
10202,BRISTOL SI,CENTAURUS 18,1,2520,0
10300,CAMIT,3300,1,127,0
10338,BETA TECH,GENERATION 6,10,720,0
10339,BETA TECH,H500A,10,580,0
13000,CFM INTL,CFM56-5B1,5,0,30000
13001,CFM INTL,CFM56-5B1/P,5,0,30000
13002,CFM INTL,CFM56-5B1/2P,5,0,30000
13003,CFM INTL,CFM56-5B2,5,0,31000
13004,CFM INTL,CFM56-5B2/P,5,0,31000
13005,CFM INTL,CFM56-5B2/2P,5,0,31000
13006,CFM INTL,CFM56-5B3/P,5,0,32000
13007,CFM INTL,CFM56-5B3/P1,5,0,32000
13008,CFM INTL,CFM56-5B3/2P,5,0,32000
13009,CFM INTL,CFM56-5B3/2P1,5,0,32000
13010,CFM INTL,CFM56-5B4,5,0,27000
13011,CFM INTL,CFM56-5B4/P,5,0,27000
13012,CFM INTL,CFM56-5B4/P1,5,0,27000
13013,CFM INTL,CFM56-5B4/2P,5,0,27000
13014,CFM INTL,CFM56-5B4/2P1,5,0,27000
13015,CFM INTL,CFM56-5B5,5,0,22000
13016,CFM INTL,CFM56-5B5/P,5,0,22000
13017,CFM INTL,CFM56-5B6,5,0,23500
13018,CFM INTL,CFM56-5B6/P,5,0,23500
13019,CFM INTL,CFM56-5B6/2P,5,0,23500
13020,CFM INTL,CFM56-5B7,5,0,27000
13021,CFM INTL,CFM56-5B7/P,5,0,27000
13022,CFM INTL,CFM56-5B8/P,5,0,21600
